Period (s),CommandedVelocity (mm/s),PositionError (mm),CommandedPosition (mm),CommandedAcceleration (mm/s2)
0.055296,4.989125,0.000135,11.195775,0.000000
0.055808,4.989125,0.000175,11.198330,0.000000
0.056320,4.989125,0.000165,11.200885,0.000000
0.056832,4.989125,0.000140,11.203440,0.000000
0.057344,4.989125,0.000160,11.205995,0.000000
0.057856,4.989125,0.000185,11.208550,0.000000
0.058368,4.989125,0.000200,11.211105,0.000000
0.058880,4.989125,0.000200,11.213655,0.000000
0.059392,4.989125,0.000185,11.216210,0.000000
0.059904,4.989125,0.000195,11.218765,0.000000
0.060416,4.989125,0.000160,11.221320,0.000000
0.060928,4.989125,0.000160,11.223875,0.000000
0.061440,4.989125,0.000195,11.226430,0.000000
0.061952,4.989125,0.000210,11.228985,0.000000
0.062464,4.989125,0.000185,11.231540,0.000000
0.062976,4.989125,0.000170,11.234095,0.000000
0.063488,4.989125,0.000180,11.236645,0.000000
0.064000,4.989125,0.000155,11.239200,0.000000
0.064512,4.989125,0.000130,11.241755,0.000000
0.065024,4.989125,0.000125,11.244310,0.000000
0.065536,4.989125,0.000115,11.246865,0.000000
0.066048,4.989125,0.000115,11.249420,0.000000
0.066560,4.989125,0.000075,11.251975,0.000000
0.067072,4.989125,0.000065,11.254530,0.000000
0.067584,4.989125,0.000045,11.257085,0.000000
0.068096,4.989125,0.000020,11.259635,0.000000
0.068608,4.989125,-0.000035,11.262190,0.000000
0.069120,4.989125,-0.000055,11.264745,0.000000
0.069632,4.989125,-0.000065,11.267300,0.000000
0.070144,4.989125,-0.000080,11.269855,0.000000
0.070656,4.989125,-0.000110,11.272410,0.000000
0.071168,4.989125,-0.000120,11.274965,0.000000
0.071680,4.989125,-0.000120,11.277520,0.000000
0.072192,4.989125,-0.000165,11.280075,0.000000
0.072704,4.989125,-0.000250,11.282625,0.000000
0.073216,4.989125,-0.000250,11.285180,0.000000
0.073728,4.989125,-0.000250,11.287735,0.000000
0.074240,4.989125,-0.000260,11.290290,0.000000
0.074752,4.989125,-0.000270,11.292845,0.000000
0.075264,4.989125,-0.000315,11.295400,0.000000
0.075776,4.989125,-0.000335,11.297955,0.000000
0.076288,4.989125,-0.000405,11.300510,0.000000
0.076800,4.989125,-0.000445,11.303065,0.000000
0.077312,4.989125,-0.000425,11.305615,0.000000
0.077824,4.989125,-0.000420,11.308170,0.000000
0.078336,4.989125,-0.000465,11.310725,0.000000
0.078848,4.989125,-0.000490,11.313280,0.000000
0.079360,4.989125,-0.000515,11.315835,0.000000
0.079872,4.989125,-0.000545,11.318390,0.000000
0.080384,4.989125,-0.000595,11.320945,0.000000
0.080896,4.989125,-0.000590,11.323500,0.000000
0.081408,4.989125,-0.000590,11.326050,0.000000
0.081920,4.989125,-0.000585,11.328605,0.000000
0.082432,4.989125,-0.000605,11.331160,0.000000
0.082944,4.989125,-0.000595,11.333715,0.000000
0.083456,4.989125,-0.000580,11.336270,0.000000
0.083968,4.989125,-0.000575,11.338825,0.000000
0.084480,4.989125,-0.000595,11.341380,0.000000
0.084992,4.989125,-0.000580,11.343935,0.000000
0.085504,4.989125,-0.000535,11.346490,0.000000
0.086016,4.989125,-0.000500,11.349040,0.000000
0.086528,4.989125,-0.000460,11.351595,0.000000
0.087040,4.989125,-0.000405,11.354150,0.000000
0.087552,4.989125,-0.000345,11.356705,0.000000
0.088064,4.989125,-0.000290,11.359260,0.000000
0.088576,4.989125,-0.000295,11.361815,0.000000
0.089088,4.989125,-0.000230,11.364370,0.000000
0.089600,4.989125,-0.000170,11.366925,0.000000
0.090112,4.989125,-0.000105,11.369480,0.000000
0.090624,4.989125,-0.000030,11.372030,0.000000
0.091136,4.989125,0.000015,11.374585,0.000000
0.091648,4.989125,0.000080,11.377140,0.000000
0.092160,4.989125,0.000110,11.379695,0.000000
0.092672,4.989125,0.000120,11.382250,0.000000
0.093184,4.989125,0.000185,11.384805,0.000000
0.093696,4.989125,0.000250,11.387360,0.000000
0.094208,4.989125,0.000300,11.389915,0.000000
0.094720,4.989125,0.000315,11.392470,0.000000
0.095232,4.989125,0.000340,11.395020,0.000000
0.095744,4.989125,0.000390,11.397575,0.000000
0.096256,4.989125,0.000395,11.400130,0.000000
0.096768,4.989125,0.000405,11.402685,0.000000
0.097280,4.989125,0.000445,11.405240,0.000000
0.097792,4.989125,0.000460,11.407795,0.000000
0.098304,4.989125,0.000475,11.410350,0.000000
0.098816,4.989125,0.000470,11.412905,0.000000
0.099328,4.989125,0.000490,11.415460,0.000000
