Period (s),ActualPosition (mm),Gate,Trigger
0.046285,12.151070,0,0
0.046490,12.152095,0,0
0.046694,12.153105,0,0
0.046899,12.154115,0,0
0.047104,12.155130,0,0
0.047309,12.156135,0,0
0.047514,12.157135,0,0
0.047718,12.158145,0,0
0.047923,12.159175,0,0
0.048128,12.160215,0,0
0.048333,12.161255,0,0
0.048538,12.162290,0,0
0.048742,12.163320,0,0
0.048947,12.164325,0,0
0.049152,12.165355,0,0
0.049357,12.166375,0,0
0.049562,12.167385,0,0
0.049766,12.168405,0,0
0.049971,12.169425,0,0
0.050176,12.170445,0,0
0.050381,12.171450,0,0
0.050586,12.172460,0,0
0.050790,12.173490,0,0
0.050995,12.174500,0,0
0.051200,12.175510,0,0
0.051405,12.176510,0,0
0.051610,12.177520,0,0
0.051814,12.178540,0,0
0.052019,12.179575,0,0
0.052224,12.180610,0,0
0.052429,12.181630,0,0
0.052634,12.182640,0,0
0.052838,12.183655,0,0
0.053043,12.184650,0,0
0.053248,12.185660,0,0
0.053453,12.186665,0,0
0.053658,12.187670,0,0
0.053862,12.188680,0,0
0.054067,12.189705,0,0
0.054272,12.190720,0,0
0.054477,12.191735,0,0
0.054682,12.192750,0,0
0.054886,12.193755,0,0
0.055091,12.194760,0,0
0.055296,12.195760,0,0
0.055501,12.196750,0,0
0.055706,12.197755,0,0
0.055910,12.198785,0,0
0.056115,12.199810,0,0
0.056320,12.200825,0,0
0.056525,12.201845,0,0
0.056730,12.202855,0,0
0.056934,12.203855,0,0
0.057139,12.204870,0,0
0.057344,12.205890,0,0
0.057549,12.206905,0,0
0.057754,12.207905,0,0
0.057958,12.208925,0,0
0.058163,12.209955,0,0
0.058368,12.210970,0,0
0.058573,12.211995,0,0
0.058778,12.213010,0,0
0.058982,12.214005,0,0
0.059187,12.215010,0,0
0.059392,12.216025,0,0
0.059597,12.217030,0,0
0.059802,12.218045,0,0
0.060006,12.219055,0,0
0.060211,12.220085,0,0
0.060416,12.221125,0,0
0.060621,12.222160,0,0
0.060826,12.223185,0,0
0.061030,12.224205,0,0
0.061235,12.225220,0,0
0.061440,12.226230,0,0
0.061645,12.227250,0,0
0.061850,12.228270,0,0
0.062054,12.229285,0,0
0.062259,12.230310,0,0
0.062464,12.231330,0,0
0.062669,12.232345,0,0
0.062874,12.233350,0,0
0.063078,12.234360,0,0
0.063283,12.235370,0,0
0.063488,12.236375,0,0
0.063693,12.237380,0,0
0.063898,12.238390,0,0
0.064102,12.239415,0,0
0.064307,12.240455,0,0
0.064512,12.241500,0,0
0.064717,12.242540,0,0
0.064922,12.243560,0,0
0.065126,12.244565,0,0
0.065331,12.245590,0,0
0.065536,12.246610,0,0
0.065741,12.247625,0,0
0.065946,12.248645,0,0
0.066150,12.249675,0,0
0.066355,12.250685,0,0
0.066560,12.251700,0,0
0.066765,12.252720,0,0
0.066970,12.253745,0,0
0.067174,12.254775,0,0
0.067379,12.255795,0,0
0.067584,12.256805,0,0
0.067789,12.257830,0,0
