Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.033792,0.000150,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.034304,0.000115,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.034816,0.000130,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.035328,0.000140,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.035840,0.000130,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.036352,0.000125,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.036864,0.000100,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.037376,0.000095,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.037888,0.000040,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.038400,-0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.038912,-0.000035,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.039424,-0.000070,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.039936,-0.000135,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.040448,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.040960,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.041472,-0.000250,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.041984,-0.000305,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.042496,-0.000345,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.043008,-0.000390,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.043520,-0.000415,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.044032,-0.000470,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.044544,-0.000485,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.045056,-0.000480,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.045568,-0.000480,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.046080,-0.000510,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.046592,-0.000510,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.047104,-0.000490,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.047616,-0.000485,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.048128,-0.000470,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.048640,-0.000430,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.049152,-0.000365,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.049664,-0.000330,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.050176,-0.000340,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.050688,-0.000295,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.051200,-0.000265,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.051712,-0.000225,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.052224,-0.000170,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.052736,-0.000135,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.053248,-0.000055,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.053760,-0.000040,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.054272,-0.000035,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.054784,0.000025,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.055296,0.000080,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.055808,0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.056320,0.000110,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.056832,0.000140,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.057344,0.000195,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.057856,0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.058368,0.000185,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.058880,0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.059392,0.000215,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.059904,0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.060416,0.000175,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.060928,0.000195,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.061440,0.000205,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.061952,0.000175,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.062464,0.000125,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.062976,0.000100,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.063488,0.000085,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.064000,0.000055,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.064512,0.000030,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.065024,0.000025,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.065536,0.000030,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.066048,-0.000030,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.066560,-0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.067072,-0.000125,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.067584,-0.000165,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.068096,-0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.068608,-0.000255,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.069120,-0.000295,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.069632,-0.000360,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.070144,-0.000440,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.070656,-0.000470,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.071168,-0.000500,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.071680,-0.000550,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.072192,-0.000605,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.072704,-0.000645,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.073216,-0.000645,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.073728,-0.000700,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.074240,-0.000730,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.074752,-0.000730,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.075264,-0.000735,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.075776,-0.000760,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.076288,-0.000785,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.076800,-0.000780,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.077312,-0.000765,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.077824,-0.000775,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.078336,-0.000810,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.078848,-0.000810,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.079360,-0.000805,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.079872,-0.000810,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.080384,-0.000805,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.080896,-0.000775,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.081408,-0.000750,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.081920,-0.000780,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.082432,-0.000815,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.082944,-0.000795,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.083456,-0.000780,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.083968,-0.000760,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.084480,-0.000745,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.084992,-0.000735,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.085504,-0.000725,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.086016,-0.000750,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.086528,-0.000725,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.087040,-0.000680,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.087552,-0.000645,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.088064,-0.000645,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.088576,-0.000610,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.089088,-0.000565,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.089600,-0.000550,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.090112,-0.000540,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.090624,-0.000510,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.091136,-0.000485,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.091648,-0.000445,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.092160,-0.000445,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.092672,-0.000415,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.093184,-0.000385,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.093696,-0.000365,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.094208,-0.000375,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.094720,-0.000360,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
