Period (s),PositionError (mm)
0.090112,-0.000160
0.090624,-0.000155
0.091136,-0.000120
0.091648,-0.000100
0.092160,-0.000105
0.092672,-0.000135
0.093184,-0.000130
0.093696,-0.000105
0.094208,-0.000085
0.094720,-0.000060
0.095232,-0.000005
0.095744,0.000040
0.096256,0.000050
0.096768,0.000010
0.097280,0.000050
0.097792,0.000085
0.098304,0.000120
0.098816,0.000170
0.099328,0.000180
0.099840,0.000225
0.100352,0.000180
0.100864,0.000165
0.101376,0.000190
0.101888,0.000210
0.102400,0.000200
0.102912,0.000190
0.103424,0.000190
0.103936,0.000180
0.104448,0.000130
0.104960,0.000095
0.105472,0.000070
0.105984,0.000050
0.106496,0.000015
0.107008,-0.000005
0.107520,0.000000
0.108032,-0.000005
0.108544,-0.000070
0.109056,-0.000110
0.109568,-0.000140
0.110080,-0.000160
0.110592,-0.000180
0.111104,-0.000165
0.111616,-0.000140
0.112128,-0.000135
0.112640,-0.000205
0.113152,-0.000215
0.113664,-0.000235
0.114176,-0.000240
0.114688,-0.000230
0.115200,-0.000230
0.115712,-0.000215
0.116224,-0.000240
0.116736,-0.000275
0.117248,-0.000265
0.117760,-0.000250
0.118272,-0.000260
0.118784,-0.000260
0.119296,-0.000245
0.119808,-0.000210
0.120320,-0.000225
0.120832,-0.000225
0.121344,-0.000220
0.121856,-0.000210
0.122368,-0.000220
0.122880,-0.000220
0.123392,-0.000175
0.123904,-0.000135
0.124416,-0.000135
0.124928,-0.000150
0.125440,-0.000135
0.125952,-0.000110
0.126464,-0.000090
0.126976,-0.000045
0.127488,0.000015
0.128000,0.000095
0.128512,0.000105
0.129024,0.000100
0.129536,0.000150
0.130048,0.000200
0.130560,0.000240
0.131072,0.000290
0.131584,0.000335
0.132096,0.000380
0.132608,0.000380
0.133120,0.000420
0.133632,0.000465
0.134144,0.000490
0.134656,0.000485
0.135168,0.000495
0.135680,0.000530
0.136192,0.000550
0.136704,0.000550
0.137216,0.000550
0.137728,0.000545
0.138240,0.000545
0.138752,0.000510
0.139264,0.000500
0.139776,0.000495
0.140288,0.000500
0.140800,0.000460
0.141312,0.000440
0.141824,0.000410
0.142336,0.000385
0.142848,0.000335
0.143360,0.000325
0.143872,0.000340
0.144384,0.000315
0.144896,0.000245
0.145408,0.000220
0.145920,0.000200
0.146432,0.000175
0.146944,0.000155
0.147456,0.000125
0.147968,0.000140
0.148480,0.000095
0.148992,0.000070
0.149504,0.000090
0.150016,0.000085
0.150528,0.000035
0.151040,0.000020
0.151552,0.000010
0.152064,0.000015
0.152576,-0.000010
0.153088,-0.000025
0.153600,-0.000040
0.154112,-0.000060
0.154624,-0.000115
0.155136,-0.000145
0.155648,-0.000140
0.156160,-0.000150
0.156672,-0.000185
0.157184,-0.000215
0.157696,-0.000230
0.158208,-0.000265
0.158720,-0.000290
0.159232,-0.000285
0.159744,-0.000265
0.160256,-0.000255
0.160768,-0.000295
0.161280,-0.000285
0.161792,-0.000275
0.162304,-0.000275
0.162816,-0.000245
0.163328,-0.000235
0.163840,-0.000185
0.164352,-0.000175
0.164864,-0.000160
0.165376,-0.000110
0.165888,-0.000070
0.166400,-0.000055
0.166912,-0.000050
0.167424,-0.000030
0.167936,0.000040
0.168448,0.000040
0.168960,0.000060
0.169472,0.000100
0.169984,0.000115
0.170496,0.000100
0.171008,0.000095
0.171520,0.000120
0.172032,0.000150
0.172544,0.000140
0.173056,0.000125
0.173568,0.000125
0.174080,0.000135
0.174592,0.000135
0.175104,0.000140
0.175616,0.000160
0.176128,0.000200
0.176640,0.000170
0.177152,0.000125
0.177664,0.000125
0.178176,0.000120
0.178688,0.000105
0.179200,0.000085
0.179712,0.000070
0.180224,0.000045
0.180736,-0.000005
0.181248,-0.000025
0.181760,-0.000025
0.182272,-0.000040
0.182784,-0.000080
0.183296,-0.000100
0.183808,-0.000090
0.184320,-0.000120
0.184832,-0.000145
0.185344,-0.000150
0.185856,-0.000165
0.186368,-0.000180
0.186880,-0.000205
0.187392,-0.000190
0.187904,-0.000170
0.188416,-0.000160
0.188928,-0.000180
0.189440,-0.000175
0.189952,-0.000165
0.190464,-0.000160
0.190976,-0.000160
0.191488,-0.000135
0.192000,-0.000095
0.192512,-0.000085
0.193024,-0.000120
0.193536,-0.000095
0.194048,-0.000075
0.194560,-0.000060
0.195072,-0.000045
0.195584,-0.000040
0.196096,-0.000015
0.196608,-0.000025
0.197120,-0.000010
0.197632,0.000025
0.198144,0.000040
0.198656,0.000025
0.199168,0.000035
0.199680,0.000065
0.200192,0.000100
0.200704,0.000105
0.201216,0.000125
0.201728,0.000150
0.202240,0.000180
0.202752,0.000180
0.203264,0.000220
0.203776,0.000285
0.204288,0.000365
0.204800,0.000410
0.205312,0.000455
0.205824,0.000535
0.206336,0.000605
0.206848,0.000665
0.207360,0.000730
0.207872,0.000820
0.208384,0.000910
0.208896,0.001005
0.209408,0.001040
0.209920,0.001070
0.210432,0.001145
0.210944,0.001180
0.211456,0.001225
0.211968,0.001250
0.212480,0.001280
0.212992,0.001285
0.213504,0.001270
0.214016,0.001285
0.214528,0.001260
0.215040,0.001230
0.215552,0.001190
0.216064,0.001160
0.216576,0.001145
0.217088,0.001125
0.217600,0.001085
0.218112,0.001060
0.218624,0.001020
0.219136,0.000960
0.219648,0.000910
0.220160,0.000860
0.220672,0.000820
0.221184,0.000780
0.221696,0.000745
0.222208,0.000730
0.222720,0.000715
0.223232,0.000685
0.223744,0.000660
0.224256,0.000630
0.224768,0.000640
0.225280,0.000625
0.225792,0.000625
0.226304,0.000635
0.226816,0.000640
0.227328,0.000645
0.227840,0.000625
0.228352,0.000625
0.228864,0.000610
0.229376,0.000580
0.229888,0.000560
0.230400,0.000520
0.230912,0.000485
0.231424,0.000440
0.231936,0.000395
0.232448,0.000370
0.232960,0.000340
0.233472,0.000315
0.233984,0.000280
0.234496,0.000260
0.235008,0.000245
0.235520,0.000225
0.236032,0.000220
0.236544,0.000220
0.237056,0.000220
0.237568,0.000225
0.238080,0.000240
0.238592,0.000245
0.239104,0.000245
0.239616,0.000245
0.240128,0.000245
0.240640,0.000255
0.241152,0.000255
0.241664,0.000260
0.242176,0.000265
0.242688,0.000265
0.243200,0.000265
0.243712,0.000270
0.244224,0.000275
0.244736,0.000280
0.245248,0.000280
0.245760,0.000285
0.246272,0.000285
0.246784,0.000285
0.247296,0.000285
0.247808,0.000280
0.248320,0.000280
0.248832,0.000280
0.249344,0.000280
0.249856,0.000280
0.250368,0.000275
0.250880,0.000270
0.251392,0.000265
0.251904,0.000260
0.252416,0.000260
0.252928,0.000260
0.253440,0.000255
0.253952,0.000255
0.254464,0.000250
0.254976,0.000235
0.255488,0.000230
0.256000,0.000220
0.256512,0.000215
0.257024,0.000210
0.257536,0.000195
0.258048,0.000185
0.258560,0.000170
0.259072,0.000150
0.259584,0.000125
0.260096,0.000115
0.260608,0.000095
0.261120,0.000080
0.261632,0.000065
0.262144,0.000050
0.262656,0.000035
0.263168,0.000025
0.263680,0.000015
0.264192,0.000005
0.264704,0.000000
0.265216,-0.000005
0.265728,-0.000020
0.266240,-0.000020
0.266752,-0.000020
0.267264,-0.000015
0.267776,-0.000015
0.268288,-0.000015
0.268800,-0.000015
0.269312,-0.000015
0.269824,0.000000
0.270336,0.000005
0.270848,0.000005
0.271360,0.000005
0.271872,0.000005
0.272384,0.000010
0.272896,0.000015
0.273408,0.000020
0.273920,0.000020
0.274432,0.000025
0.274944,0.000030
0.275456,0.000040
0.275968,0.000045
0.276480,0.000050
0.276992,0.000055
0.277504,0.000060
0.278016,0.000065
0.278528,0.000070
0.279040,0.000075
0.279552,0.000085
0.280064,0.000090
0.280576,0.000100
0.281088,0.000110
