Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000765,0.000770
0.000563,0.000485,0.000830
0.001126,0.000145,0.000780
0.001690,-0.000220,0.000605
0.002253,-0.000550,0.000365
0.002816,-0.000810,0.000075
0.003379,-0.000965,-0.000210
0.003942,-0.000990,-0.000475
0.004506,-0.000885,-0.000690
0.005069,-0.000665,-0.000810
0.005632,-0.000355,-0.000830
0.006195,0.000000,-0.000735
0.006758,0.000355,-0.000550
0.007322,0.000665,-0.000300
0.007885,0.000890,-0.000025
0.008448,0.001000,0.000270
0.009011,0.000975,0.000540
0.009574,0.000825,0.000730
0.010138,0.000570,0.000820
0.010701,0.000240,0.000805
0.011264,-0.000120,0.000665
0.011827,-0.000465,0.000445
0.012390,-0.000750,0.000170
0.012954,-0.000935,-0.000110
0.013517,-0.000995,-0.000385
0.014080,-0.000925,-0.000610
0.014643,-0.000735,-0.000755
0.015206,-0.000445,-0.000800
0.015770,-0.000100,-0.000735
0.016333,0.000260,-0.000570
0.016896,0.000590,-0.000330
0.017459,0.000840,-0.000055
0.018022,0.000980,0.000235
0.018586,0.000995,0.000525
0.019149,0.000880,0.000745
0.019712,0.000650,0.000865
0.020275,0.000335,0.000885
0.020838,-0.000025,0.000765
0.021402,-0.000375,0.000555
0.021965,-0.000680,0.000290
0.022528,-0.000895,-0.000010
0.023091,-0.000990,-0.000295
0.023654,-0.000955,-0.000540
0.024218,-0.000795,-0.000710
0.024781,-0.000530,-0.000785
0.025344,-0.000195,-0.000750
0.025907,0.000165,-0.000595
0.026470,0.000505,-0.000370
0.027034,0.000780,-0.000110
0.027597,0.000955,0.000180
0.028160,0.001005,0.000475
0.028723,0.000925,0.000715
0.029286,0.000720,0.000865
0.029850,0.000425,0.000900
0.030413,0.000075,0.000815
0.030976,-0.000285,0.000635
0.031539,-0.000605,0.000380
0.032102,-0.000850,0.000080
0.032666,-0.000980,-0.000215
0.033229,-0.000980,-0.000480
0.033792,-0.000850,-0.000685
0.034355,-0.000610,-0.000795
0.034918,-0.000290,-0.000795
0.035482,0.000065,-0.000690
0.036045,0.000420,-0.000485
0.036608,0.000715,-0.000230
0.037171,0.000920,0.000045
0.037734,0.001005,0.000350
0.038298,0.000955,0.000605
0.038861,0.000785,0.000775
0.039424,0.000515,0.000845
0.039987,0.000175,0.000800
0.040550,-0.000190,0.000625
0.041114,-0.000525,0.000390
0.041677,-0.000790,0.000095
0.042240,-0.000955,-0.000195
0.042803,-0.000990,-0.000470
0.043366,-0.000900,-0.000700
0.043930,-0.000685,-0.000830
0.044493,-0.000385,-0.000870
0.045056,-0.000030,-0.000785
0.045619,0.000325,-0.000605
0.046182,0.000645,-0.000355
0.046746,0.000875,-0.000075
0.047309,0.000995,0.000220
0.047872,0.000985,0.000500
0.048435,0.000845,0.000710
0.048998,0.000595,0.000810
0.049562,0.000270,0.000800
0.050125,-0.000090,0.000670
0.050688,-0.000440,0.000450
0.051251,-0.000730,0.000170
0.051814,-0.000925,-0.000130
0.052378,-0.000995,-0.000410
0.052941,-0.000935,-0.000655
0.053504,-0.000755,-0.000810
0.054067,-0.000475,-0.000870
0.054630,-0.000130,-0.000810
0.055194,0.000230,-0.000645
0.055757,0.000565,-0.000415
0.056320,0.000820,-0.000130
0.056883,0.000975,0.000155
0.057446,0.001000,0.000450
0.058010,0.000895,0.000685
0.058573,0.000670,0.000815
0.059136,0.000365,0.000845
0.059699,0.000005,0.000735
0.060262,-0.000350,0.000545
0.060826,-0.000660,0.000280
0.061389,-0.000880,-0.000015
0.061952,-0.000990,-0.000300
0.062515,-0.000965,-0.000555
0.063078,-0.000815,-0.000745
0.063642,-0.000555,-0.000830
0.064205,-0.000225,-0.000815
0.064768,0.000135,-0.000685
0.065331,0.000480,-0.000455
0.065894,0.000760,-0.000195
0.066458,0.000945,0.000095
0.067021,0.001005,0.000395
0.067584,0.000935,0.000650
