Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000825,-0.000430
0.000410,-0.000565,-0.000585
0.000819,-0.000230,-0.000645
0.001229,0.000135,-0.000630
0.001638,0.000485,-0.000530
0.002048,0.000765,-0.000350
0.002458,0.000950,-0.000135
0.002867,0.001005,0.000095
0.003277,0.000925,0.000315
0.003686,0.000725,0.000495
0.004096,0.000425,0.000605
0.004506,0.000070,0.000630
0.004915,-0.000295,0.000570
0.005325,-0.000615,0.000425
0.005734,-0.000855,0.000230
0.006144,-0.000980,0.000005
0.006554,-0.000975,-0.000220
0.006963,-0.000835,-0.000425
0.007373,-0.000585,-0.000575
0.007782,-0.000250,-0.000650
0.008192,0.000115,-0.000640
0.008602,0.000465,-0.000535
0.009011,0.000755,-0.000360
0.009421,0.000940,-0.000150
0.009830,0.001005,0.000075
0.010240,0.000935,0.000295
0.010650,0.000740,0.000480
0.011059,0.000445,0.000600
0.011469,0.000090,0.000630
0.011878,-0.000275,0.000580
0.012288,-0.000600,0.000440
0.012698,-0.000845,0.000250
0.013107,-0.000980,0.000025
0.013517,-0.000980,-0.000205
0.013926,-0.000845,-0.000410
0.014336,-0.000600,-0.000560
0.014746,-0.000270,-0.000650
0.015155,0.000095,-0.000650
0.015565,0.000445,-0.000550
0.015974,0.000740,-0.000395
0.016384,0.000935,-0.000175
0.016794,0.001005,0.000060
0.017203,0.000940,0.000285
0.017613,0.000750,0.000470
0.018022,0.000465,0.000600
0.018432,0.000110,0.000640
0.018842,-0.000255,0.000590
0.019251,-0.000585,0.000455
0.019661,-0.000835,0.000265
0.020070,-0.000975,0.000040
0.020480,-0.000980,-0.000190
0.020890,-0.000855,-0.000400
0.021299,-0.000615,-0.000560
0.021709,-0.000290,-0.000645
0.022118,0.000070,-0.000650
0.022528,0.000425,-0.000555
0.022938,0.000725,-0.000395
0.023347,0.000925,-0.000180
0.023757,0.001005,0.000045
0.024166,0.000950,0.000275
0.024576,0.000765,0.000465
0.024986,0.000480,0.000590
0.025395,0.000135,0.000635
0.025805,-0.000235,0.000595
0.026214,-0.000565,0.000470
0.026624,-0.000825,0.000285
0.027034,-0.000970,0.000065
0.027443,-0.000985,-0.000170
0.027853,-0.000865,-0.000375
0.028262,-0.000630,-0.000540
0.028672,-0.000310,-0.000625
0.029082,0.000050,-0.000635
0.029491,0.000405,-0.000550
0.029901,0.000710,-0.000385
0.030310,0.000920,-0.000180
0.030720,0.001005,0.000055
0.031130,0.000955,0.000275
0.031539,0.000780,0.000475
0.031949,0.000500,0.000600
0.032358,0.000155,0.000650
0.032768,-0.000210,0.000620
0.033178,-0.000550,0.000495
0.033587,-0.000810,0.000315
0.033997,-0.000965,0.000095
0.034406,-0.000990,-0.000145
0.034816,-0.000875,-0.000345
0.035226,-0.000650,-0.000515
0.035635,-0.000330,-0.000610
0.036045,0.000030,-0.000620
0.036454,0.000390,-0.000530
0.036864,0.000695,-0.000375
0.037274,0.000910,-0.000170
0.037683,0.001000,0.000060
0.038093,0.000960,0.000285
0.038502,0.000795,0.000480
0.038912,0.000520,0.000610
0.039322,0.000175,0.000665
0.039731,-0.000190,0.000635
0.040141,-0.000530,0.000515
0.040550,-0.000800,0.000335
0.040960,-0.000960,0.000125
0.041370,-0.000990,-0.000120
0.041779,-0.000885,-0.000325
0.042189,-0.000665,-0.000490
0.042598,-0.000350,-0.000590
0.043008,0.000010,-0.000600
0.043418,0.000370,-0.000525
0.043827,0.000680,-0.000380
0.044237,0.000900,-0.000175
0.044646,0.001000,0.000060
0.045056,0.000970,0.000280
0.045466,0.000805,0.000475
0.045875,0.000535,0.000610
0.046285,0.000195,0.000665
0.046694,-0.000170,0.000645
0.047104,-0.000515,0.000520
0.047514,-0.000785,0.000345
0.047923,-0.000955,0.000125
0.048333,-0.000990,-0.000115
0.048742,-0.000895,-0.000320
