Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000555,-0.000220
0.000205,0.000695,-0.000185
0.000410,0.000720,-0.000105
0.000614,0.000625,0.000005
0.000819,0.000420,0.000120
0.001024,0.000145,0.000225
0.001229,-0.000155,0.000300
0.001434,-0.000430,0.000325
0.001638,-0.000625,0.000315
0.001843,-0.000715,0.000260
0.002048,-0.000680,0.000165
0.002253,-0.000525,0.000050
0.002458,-0.000285,-0.000070
0.002662,0.000010,-0.000160
0.002867,0.000305,-0.000220
0.003072,0.000545,-0.000230
0.003277,0.000695,-0.000200
0.003482,0.000725,-0.000125
0.003686,0.000630,-0.000015
0.003891,0.000430,0.000100
0.004096,0.000155,0.000200
0.004301,-0.000145,0.000275
0.004506,-0.000420,0.000305
0.004710,-0.000620,0.000305
0.004915,-0.000715,0.000240
0.005120,-0.000685,0.000145
0.005325,-0.000535,0.000030
0.005530,-0.000295,-0.000090
0.005734,-0.000005,-0.000180
0.005939,0.000290,-0.000240
0.006144,0.000535,-0.000260
0.006349,0.000690,-0.000225
0.006554,0.000725,-0.000140
0.006758,0.000635,-0.000040
0.006963,0.000440,0.000070
0.007168,0.000170,0.000180
0.007373,-0.000130,0.000255
0.007578,-0.000405,0.000290
0.007782,-0.000610,0.000280
0.007987,-0.000710,0.000225
0.008192,-0.000690,0.000130
0.008397,-0.000545,0.000020
0.008602,-0.000305,-0.000095
0.008806,-0.000015,-0.000190
0.009011,0.000280,-0.000250
0.009216,0.000525,-0.000265
0.009421,0.000685,-0.000240
0.009626,0.000725,-0.000160
0.009830,0.000645,-0.000050
0.010035,0.000450,0.000065
0.010240,0.000180,0.000175
0.010445,-0.000120,0.000250
0.010650,-0.000395,0.000285
0.010854,-0.000605,0.000280
0.011059,-0.000710,0.000220
0.011264,-0.000690,0.000130
0.011469,-0.000555,0.000015
0.011674,-0.000320,-0.000095
0.011878,-0.000030,-0.000195
0.012083,0.000265,-0.000260
0.012288,0.000515,-0.000270
0.012493,0.000680,-0.000250
0.012698,0.000725,-0.000175
0.012902,0.000650,-0.000065
0.013107,0.000460,0.000055
0.013312,0.000195,0.000160
0.013517,-0.000105,0.000235
0.013722,-0.000385,0.000270
0.013926,-0.000600,0.000275
0.014131,-0.000710,0.000220
0.014336,-0.000695,0.000130
0.014541,-0.000560,0.000015
0.014746,-0.000330,-0.000100
0.014950,-0.000040,-0.000195
0.015155,0.000255,-0.000255
0.015360,0.000510,-0.000270
0.015565,0.000675,-0.000250
0.015770,0.000725,-0.000175
0.015974,0.000655,-0.000075
0.016179,0.000470,0.000045
0.016384,0.000205,0.000155
0.016589,-0.000090,0.000230
0.016794,-0.000375,0.000270
0.016998,-0.000590,0.000270
0.017203,-0.000705,0.000220
0.017408,-0.000700,0.000130
0.017613,-0.000570,0.000015
0.017818,-0.000340,-0.000105
0.018022,-0.000055,-0.000210
0.018227,0.000240,-0.000275
0.018432,0.000500,-0.000295
0.018637,0.000670,-0.000275
0.018842,0.000725,-0.000200
0.019046,0.000660,-0.000100
0.019251,0.000480,0.000015
0.019456,0.000220,0.000120
0.019661,-0.000080,0.000205
0.019866,-0.000365,0.000250
0.020070,-0.000585,0.000250
0.020275,-0.000705,0.000205
0.020480,-0.000700,0.000115
0.020685,-0.000575,-0.000005
0.020890,-0.000355,-0.000120
0.021094,-0.000070,-0.000215
0.021299,0.000230,-0.000280
0.021504,0.000490,-0.000300
