Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000005,0.000050
0.000051,-0.000025,0.000050
0.000102,-0.000055,0.000050
0.000154,-0.000080,0.000050
0.000205,-0.000100,0.000050
0.000256,-0.000110,0.000050
0.000307,-0.000115,0.000055
0.000358,-0.000115,0.000060
0.000410,-0.000105,0.000065
0.000461,-0.000090,0.000065
0.000512,-0.000065,0.000065
0.000563,-0.000040,0.000065
0.000614,-0.000010,0.000065
0.000666,0.000020,0.000065
0.000717,0.000050,0.000065
0.000768,0.000080,0.000065
0.000819,0.000100,0.000065
0.000870,0.000115,0.000060
0.000922,0.000125,0.000055
0.000973,0.000125,0.000055
0.001024,0.000120,0.000050
0.001075,0.000105,0.000050
0.001126,0.000085,0.000045
0.001178,0.000060,0.000045
0.001229,0.000030,0.000045
0.001280,0.000000,0.000045
0.001331,-0.000030,0.000045
0.001382,-0.000060,0.000045
0.001434,-0.000085,0.000045
0.001485,-0.000100,0.000045
0.001536,-0.000115,0.000050
0.001587,-0.000115,0.000055
0.001638,-0.000115,0.000055
0.001690,-0.000105,0.000060
0.001741,-0.000085,0.000065
0.001792,-0.000060,0.000065
0.001843,-0.000035,0.000070
0.001894,0.000000,0.000070
0.001946,0.000030,0.000070
0.001997,0.000060,0.000070
0.002048,0.000085,0.000070
0.002099,0.000105,0.000070
0.002150,0.000120,0.000070
0.002202,0.000125,0.000060
0.002253,0.000125,0.000055
0.002304,0.000120,0.000055
0.002355,0.000100,0.000050
0.002406,0.000080,0.000050
0.002458,0.000055,0.000045
0.002509,0.000025,0.000040
0.002560,-0.000005,0.000040
0.002611,-0.000035,0.000040
0.002662,-0.000065,0.000040
0.002714,-0.000085,0.000040
0.002765,-0.000105,0.000050
0.002816,-0.000115,0.000050
0.002867,-0.000115,0.000055
0.002918,-0.000110,0.000060
0.002970,-0.000100,0.000065
0.003021,-0.000080,0.000070
0.003072,-0.000055,0.000070
0.003123,-0.000025,0.000070
0.003174,0.000005,0.000070
0.003226,0.000035,0.000070
0.003277,0.000065,0.000070
0.003328,0.000090,0.000065
0.003379,0.000110,0.000060
0.003430,0.000120,0.000060
0.003482,0.000125,0.000060
0.003533,0.000125,0.000055
0.003584,0.000115,0.000050
0.003635,0.000100,0.000045
0.003686,0.000075,0.000040
0.003738,0.000050,0.000040
0.003789,0.000015,0.000040
0.003840,-0.000015,0.000040
0.003891,-0.000045,0.000040
0.003942,-0.000070,0.000040
0.003994,-0.000090,0.000040
0.004045,-0.000110,0.000040
0.004096,-0.000115,0.000045
0.004147,-0.000115,0.000050
0.004198,-0.000110,0.000055
0.004250,-0.000095,0.000055
0.004301,-0.000075,0.000060
0.004352,-0.000050,0.000060
0.004403,-0.000020,0.000065
0.004454,0.000010,0.000065
0.004506,0.000040,0.000065
0.004557,0.000070,0.000065
0.004608,0.000095,0.000060
0.004659,0.000110,0.000060
0.004710,0.000125,0.000060
0.004762,0.000125,0.000055
0.004813,0.000125,0.000050
0.004864,0.000110,0.000045
0.004915,0.000095,0.000040
0.004966,0.000070,0.000035
0.005018,0.000040,0.000035
0.005069,0.000010,0.000035
0.005120,-0.000020,0.000035
0.005171,-0.000050,0.000035
0.005222,-0.000075,0.000035
0.005274,-0.000095,0.000035
0.005325,-0.000110,0.000040
0.005376,-0.000115,0.000045
0.005427,-0.000115,0.000045
0.005478,-0.000105,0.000050
0.005530,-0.000090,0.000055
0.005581,-0.000070,0.000060
0.005632,-0.000040,0.000060
0.005683,-0.000015,0.000060
0.005734,0.000020,0.000060
0.005786,0.000050,0.000060
0.005837,0.000075,0.000060
0.005888,0.000100,0.000055
0.005939,0.000115,0.000055
0.005990,0.000125,0.000050
0.006042,0.000125,0.000045
0.006093,0.000120,0.000040
0.006144,0.000110,0.000035
0.006195,0.000090,0.000035
0.006246,0.000065,0.000035
0.006298,0.000035,0.000035
0.006349,0.000005,0.000035
0.006400,-0.000025,0.000035
0.006451,-0.000055,0.000035
0.006502,-0.000080,0.000035
0.006554,-0.000100,0.000035
0.006605,-0.000110,0.000035
0.006656,-0.000115,0.000035
0.006707,-0.000115,0.000040
0.006758,-0.000105,0.000040
0.006810,-0.000085,0.000045
0.006861,-0.000065,0.000045
0.006912,-0.000035,0.000050
0.006963,-0.000005,0.000050
0.007014,0.000025,0.000050
0.007066,0.000055,0.000050
0.007117,0.000080,0.000050
0.007168,0.000105,0.000050
0.007219,0.000120,0.000045
0.007270,0.000125,0.000045
0.007322,0.000125,0.000040
0.007373,0.000120,0.000030
0.007424,0.000105,0.000030
0.007475,0.000085,0.000030
0.007526,0.000055,0.000025
0.007578,0.000030,0.000025
0.007629,-0.000005,0.000025
0.007680,-0.000035,0.000025
0.007731,-0.000060,0.000025
0.007782,-0.000085,0.000025
0.007834,-0.000105,0.000025
0.007885,-0.000115,0.000030
0.007936,-0.000115,0.000035
0.007987,-0.000115,0.000035
0.008038,-0.000100,0.000040
0.008090,-0.000080,0.000045
0.008141,-0.000060,0.000045
0.008192,-0.000030,0.000045
0.008243,0.000000,0.000045
0.008294,0.000030,0.000045
0.008346,0.000060,0.000045
0.008397,0.000085,0.000045
0.008448,0.000105,0.000045
0.008499,0.000120,0.000045
0.008550,0.000125,0.000040
0.008602,0.000125,0.000040
0.008653,0.000115,0.000035
0.008704,0.000100,0.000030
0.008755,0.000080,0.000030
0.008806,0.000050,0.000025
0.008858,0.000020,0.000025
