Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000190,-0.000030
0.000102,0.000270,-0.000055
0.000205,0.000325,-0.000070
0.000307,0.000350,-0.000075
0.000410,0.000350,-0.000075
0.000512,0.000315,-0.000060
0.000614,0.000255,-0.000035
0.000717,0.000170,-0.000005
0.000819,0.000075,0.000025
0.000922,-0.000030,0.000055
0.001024,-0.000130,0.000085
0.001126,-0.000220,0.000110
0.001229,-0.000290,0.000125
0.001331,-0.000330,0.000135
0.001434,-0.000345,0.000135
0.001536,-0.000325,0.000135
0.001638,-0.000280,0.000110
0.001741,-0.000205,0.000085
0.001843,-0.000110,0.000055
0.001946,-0.000010,0.000025
0.002048,0.000095,-0.000010
0.002150,0.000190,-0.000040
0.002253,0.000270,-0.000060
0.002355,0.000325,-0.000075
0.002458,0.000355,-0.000080
0.002560,0.000350,-0.000080
0.002662,0.000315,-0.000065
0.002765,0.000255,-0.000040
0.002867,0.000170,-0.000010
0.002970,0.000070,0.000025
0.003072,-0.000035,0.000055
0.003174,-0.000135,0.000085
0.003277,-0.000225,0.000110
0.003379,-0.000290,0.000120
0.003482,-0.000335,0.000130
0.003584,-0.000345,0.000130
0.003686,-0.000325,0.000120
0.003789,-0.000275,0.000105
0.003891,-0.000200,0.000080
0.003994,-0.000110,0.000045
0.004096,-0.000005,0.000015
0.004198,0.000100,-0.000015
0.004301,0.000195,-0.000040
0.004403,0.000270,-0.000065
0.004506,0.000325,-0.000075
0.004608,0.000355,-0.000085
0.004710,0.000350,-0.000085
0.004813,0.000315,-0.000070
0.004915,0.000250,-0.000045
0.005018,0.000165,-0.000020
0.005120,0.000065,0.000020
0.005222,-0.000040,0.000050
0.005325,-0.000140,0.000075
0.005427,-0.000225,0.000100
0.005530,-0.000295,0.000115
0.005632,-0.000335,0.000125
0.005734,-0.000345,0.000125
0.005837,-0.000325,0.000125
0.005939,-0.000275,0.000110
0.006042,-0.000200,0.000080
0.006144,-0.000105,0.000055
0.006246,-0.000005,0.000020
0.006349,0.000100,-0.000015
0.006451,0.000195,-0.000045
0.006554,0.000275,-0.000070
0.006656,0.000330,-0.000080
0.006758,0.000355,-0.000080
0.006861,0.000350,-0.000080
0.006963,0.000310,-0.000070
0.007066,0.000250,-0.000050
0.007168,0.000165,-0.000015
0.007270,0.000065,0.000015
0.007373,-0.000040,0.000055
0.007475,-0.000140,0.000080
0.007578,-0.000230,0.000105
0.007680,-0.000295,0.000125
0.007782,-0.000335,0.000130
0.007885,-0.000345,0.000135
0.007987,-0.000325,0.000130
0.008090,-0.000270,0.000100
0.008192,-0.000195,0.000075
0.008294,-0.000105,0.000050
0.008397,0.000000,0.000015
0.008499,0.000105,-0.000015
0.008602,0.000200,-0.000045
0.008704,0.000275,-0.000065
0.008806,0.000330,-0.000080
0.008909,0.000355,-0.000085
0.009011,0.000345,-0.000085
0.009114,0.000310,-0.000075
0.009216,0.000245,-0.000045
0.009318,0.000160,-0.000015
0.009421,0.000060,0.000015
0.009523,-0.000045,0.000050
0.009626,-0.000145,0.000080
0.009728,-0.000230,0.000105
0.009830,-0.000295,0.000120
0.009933,-0.000335,0.000130
0.010035,-0.000345,0.000130
0.010138,-0.000320,0.000120
0.010240,-0.000270,0.000105
0.010342,-0.000195,0.000080
0.010445,-0.000100,0.000050
0.010547,0.000005,0.000020
0.010650,0.000105,-0.000010
0.010752,0.000200,-0.000040
0.010854,0.000280,-0.000065
0.010957,0.000330,-0.000080
0.011059,0.000355,-0.000080
0.011162,0.000345,-0.000085
0.011264,0.000310,-0.000070
0.011366,0.000245,-0.000040
0.011469,0.000155,-0.000005
0.011571,0.000055,0.000025
0.011674,-0.000045,0.000060
0.011776,-0.000145,0.000085
0.011878,-0.000235,0.000110
0.011981,-0.000300,0.000130
0.012083,-0.000335,0.000135
0.012186,-0.000345,0.000135
0.012288,-0.000320,0.000125
0.012390,-0.000270,0.000105
0.012493,-0.000190,0.000075
0.012595,-0.000095,0.000045
0.012698,0.000005,0.000015
0.012800,0.000110,-0.000015
0.012902,0.000205,-0.000040
0.013005,0.000280,-0.000065
0.013107,0.000330,-0.000075
0.013210,0.000355,-0.000075
0.013312,0.000345,-0.000075
0.013414,0.000305,-0.000055
0.013517,0.000240,-0.000030
0.013619,0.000155,0.000000
0.013722,0.000055,0.000030
0.013824,-0.000050,0.000060
0.013926,-0.000150,0.000090
0.014029,-0.000235,0.000115
0.014131,-0.000300,0.000135
0.014234,-0.000335,0.000140
0.014336,-0.000345,0.000140
0.014438,-0.000320,0.000135
0.014541,-0.000265,0.000115
0.014643,-0.000190,0.000090
0.014746,-0.000095,0.000060
0.014848,0.000010,0.000030
0.014950,0.000115,0.000000
