Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000405,-0.000090
0.000154,0.000380,-0.000075
0.000307,0.000285,-0.000035
0.000461,0.000145,0.000020
0.000614,-0.000020,0.000070
0.000768,-0.000180,0.000115
0.000922,-0.000310,0.000145
0.001075,-0.000385,0.000150
0.001229,-0.000390,0.000145
0.001382,-0.000325,0.000110
0.001536,-0.000205,0.000060
0.001690,-0.000050,0.000010
0.001843,0.000115,-0.000040
0.001997,0.000265,-0.000080
0.002150,0.000365,-0.000095
0.002304,0.000405,-0.000095
0.002458,0.000375,-0.000070
0.002611,0.000280,-0.000025
0.002765,0.000135,0.000025
0.002918,-0.000030,0.000075
0.003072,-0.000190,0.000120
0.003226,-0.000315,0.000145
0.003379,-0.000385,0.000150
0.003533,-0.000385,0.000145
0.003686,-0.000320,0.000115
0.003840,-0.000200,0.000065
0.003994,-0.000040,0.000015
0.004147,0.000125,-0.000035
0.004301,0.000270,-0.000070
0.004454,0.000370,-0.000085
0.004608,0.000405,-0.000090
0.004762,0.000370,-0.000065
0.004915,0.000275,-0.000020
0.005069,0.000130,0.000025
0.005222,-0.000035,0.000075
0.005376,-0.000195,0.000120
0.005530,-0.000320,0.000155
0.005683,-0.000385,0.000160
0.005837,-0.000385,0.000150
0.005990,-0.000315,0.000120
0.006144,-0.000190,0.000070
0.006298,-0.000035,0.000015
0.006451,0.000135,-0.000035
0.006605,0.000275,-0.000070
0.006758,0.000375,-0.000085
0.006912,0.000405,-0.000085
0.007066,0.000370,-0.000065
0.007219,0.000265,-0.000025
0.007373,0.000120,0.000025
0.007526,-0.000045,0.000080
0.007680,-0.000205,0.000120
0.007834,-0.000325,0.000145
0.007987,-0.000390,0.000150
0.008141,-0.000385,0.000140
0.008294,-0.000310,0.000100
0.008448,-0.000185,0.000050
0.008602,-0.000025,-0.000010
0.008755,0.000140,-0.000055
0.008909,0.000280,-0.000085
0.009062,0.000375,-0.000100
0.009216,0.000405,-0.000105
0.009370,0.000365,-0.000075
0.009523,0.000260,-0.000035
0.009677,0.000115,0.000020
0.009830,-0.000055,0.000070
0.009984,-0.000210,0.000105
0.010138,-0.000330,0.000135
0.010291,-0.000390,0.000135
0.010445,-0.000380,0.000125
0.010598,-0.000305,0.000090
0.010752,-0.000175,0.000040
0.010906,-0.000015,-0.000010
0.011059,0.000150,-0.000060
0.011213,0.000290,-0.000090
0.011366,0.000380,-0.000105
0.011520,0.000405,-0.000105
0.011674,0.000360,-0.000075
0.011827,0.000255,-0.000035
0.011981,0.000105,0.000020
0.012134,-0.000060,0.000070
0.012288,-0.000215,0.000115
0.012442,-0.000335,0.000135
0.012595,-0.000390,0.000140
0.012749,-0.000380,0.000130
0.012902,-0.000300,0.000095
0.013056,-0.000170,0.000045
0.013210,-0.000010,-0.000010
0.013363,0.000155,-0.000060
0.013517,0.000295,-0.000090
0.013670,0.000380,-0.000105
0.013824,0.000405,-0.000100
0.013978,0.000355,-0.000075
0.014131,0.000250,-0.000025
0.014285,0.000095,0.000020
0.014438,-0.000070,0.000070
0.014592,-0.000225,0.000115
0.014746,-0.000340,0.000135
0.014899,-0.000390,0.000140
0.015053,-0.000375,0.000120
0.015206,-0.000295,0.000080
0.015360,-0.000160,0.000030
0.015514,0.000000,-0.000020
0.015667,0.000165,-0.000065
0.015821,0.000300,-0.000095
0.015974,0.000385,-0.000115
