Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000280,-0.000125
0.001843,0.000610,0.000130
0.003686,0.000860,0.000380
0.005530,0.000990,0.000565
0.007373,0.000985,0.000650
0.009216,0.000845,0.000625
0.011059,0.000590,0.000535
0.012902,0.000255,0.000425
0.014746,-0.000115,0.000240
0.016589,-0.000470,0.000010
0.018432,-0.000760,-0.000250
0.020275,-0.000940,-0.000465
0.022118,-0.000995,-0.000615
0.023962,-0.000910,-0.000675
0.025805,-0.000695,-0.000630
0.027648,-0.000390,-0.000525
0.029491,-0.000025,-0.000375
0.031334,0.000340,-0.000175
0.033178,0.000660,0.000080
0.035021,0.000890,0.000330
0.036864,0.001000,0.000520
0.038707,0.000970,0.000610
0.040550,0.000810,0.000585
0.042394,0.000535,0.000510
0.044237,0.000190,0.000390
0.046080,-0.000180,0.000215
0.047923,-0.000525,0.000015
0.049766,-0.000800,-0.000205
0.051610,-0.000960,-0.000395
0.053453,-0.000990,-0.000535
0.055296,-0.000880,-0.000585
0.057139,-0.000650,-0.000535
0.058982,-0.000330,-0.000435
0.060826,0.000040,-0.000285
0.062669,0.000400,-0.000080
0.064512,0.000710,0.000150
0.066355,0.000920,0.000380
0.068198,0.001005,0.000540
0.070042,0.000950,0.000605
0.071885,0.000770,0.000565
0.073728,0.000480,0.000485
0.075571,0.000125,0.000365
0.077414,-0.000245,0.000205
0.079258,-0.000580,0.000020
0.081101,-0.000835,-0.000195
0.082944,-0.000975,-0.000375
0.084787,-0.000980,-0.000495
0.086630,-0.000850,-0.000535
0.088474,-0.000600,-0.000470
0.090317,-0.000265,-0.000380
0.092160,0.000100,-0.000240
0.094003,0.000460,-0.000045
0.095846,0.000750,0.000170
0.097690,0.000945,0.000380
0.099533,0.001005,0.000520
0.101376,0.000930,0.000555
0.103219,0.000725,0.000505
0.105062,0.000420,0.000425
0.106906,0.000060,0.000280
0.108749,-0.000305,0.000100
0.110592,-0.000630,-0.000095
0.112435,-0.000870,-0.000280
0.114278,-0.000985,-0.000450
0.116122,-0.000965,-0.000530
0.117965,-0.000815,-0.000540
0.119808,-0.000545,-0.000465
0.121651,-0.000205,-0.000365
0.123494,0.000165,-0.000195
0.125338,0.000515,0.000020
0.127181,0.000795,0.000240
0.129024,0.000965,0.000445
0.130867,0.001000,0.000550
0.132710,0.000900,0.000565
0.134554,0.000680,0.000510
0.136397,0.000365,0.000390
0.138240,-0.000005,0.000240
0.140083,-0.000365,0.000050
0.141926,-0.000680,-0.000160
0.143770,-0.000900,-0.000370
0.145613,-0.000995,-0.000535
0.147456,-0.000950,-0.000610
0.149299,-0.000775,-0.000595
0.151142,-0.000490,-0.000505
0.152986,-0.000140,-0.000380
0.154829,0.000230,-0.000190
0.156672,0.000570,0.000050
0.158515,0.000830,0.000290
0.160358,0.000980,0.000510
0.162202,0.000995,0.000615
0.164045,0.000870,0.000610
0.165888,0.000630,0.000525
0.167731,0.000300,0.000425
0.169574,-0.000065,0.000270
0.171418,-0.000425,0.000065
0.173261,-0.000725,-0.000185
0.175104,-0.000925,-0.000400
0.176947,-0.000995,-0.000560
0.178790,-0.000930,-0.000620
0.180634,-0.000730,-0.000580
0.182477,-0.000435,-0.000495
0.184320,-0.000075,-0.000365
0.186163,0.000290,-0.000160
0.188006,0.000620,0.000100
0.189850,0.000865,0.000350
0.191693,0.000990,0.000535
0.193536,0.000980,0.000630
0.195379,0.000835,0.000610
0.197222,0.000580,0.000535
0.199066,0.000240,0.000430
0.200909,-0.000130,0.000270
0.202752,-0.000485,0.000070
0.204595,-0.000770,-0.000160
0.206438,-0.000945,-0.000380
0.208282,-0.000995,-0.000540
0.210125,-0.000905,-0.000600
0.211968,-0.000685,-0.000560
0.213811,-0.000375,-0.000470
0.215654,-0.000010,-0.000335
