Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.001005,-0.000065
0.000307,0.000940,0.000140
0.000614,0.000730,0.000320
0.000922,0.000415,0.000445
0.001229,0.000035,0.000500
0.001536,-0.000350,0.000480
0.001843,-0.000680,0.000375
0.002150,-0.000910,0.000205
0.002458,-0.000995,0.000005
0.002765,-0.000930,-0.000190
0.003072,-0.000720,-0.000360
0.003379,-0.000400,-0.000475
0.003686,-0.000020,-0.000535
0.003994,0.000365,-0.000510
0.004301,0.000695,-0.000410
0.004608,0.000920,-0.000250
0.004915,0.001005,-0.000050
0.005222,0.000940,0.000150
0.005530,0.000730,0.000325
0.005837,0.000410,0.000450
0.006144,0.000030,0.000500
0.006451,-0.000355,0.000480
0.006758,-0.000685,0.000365
0.007066,-0.000910,0.000200
0.007373,-0.000995,-0.000005
0.007680,-0.000925,-0.000200
0.007987,-0.000715,-0.000375
0.008294,-0.000395,-0.000495
0.008602,-0.000015,-0.000545
0.008909,0.000370,-0.000525
0.009216,0.000700,-0.000415
0.009523,0.000920,-0.000250
0.009830,0.001005,-0.000045
0.010138,0.000935,0.000155
0.010445,0.000725,0.000335
0.010752,0.000405,0.000460
0.011059,0.000025,0.000515
0.011366,-0.000360,0.000485
0.011674,-0.000690,0.000380
0.011981,-0.000910,0.000210
0.012288,-0.000995,0.000005
0.012595,-0.000925,-0.000195
0.012902,-0.000715,-0.000365
0.013210,-0.000390,-0.000480
0.013517,-0.000010,-0.000530
0.013824,0.000375,-0.000505
0.014131,0.000700,-0.000400
0.014438,0.000925,-0.000230
0.014746,0.001005,-0.000025
0.015053,0.000935,0.000175
0.015360,0.000720,0.000360
0.015667,0.000400,0.000485
0.015974,0.000020,0.000540
0.016282,-0.000365,0.000515
0.016589,-0.000695,0.000410
0.016896,-0.000915,0.000245
0.017203,-0.000995,0.000040
0.017510,-0.000925,-0.000155
0.017818,-0.000710,-0.000325
0.018125,-0.000385,-0.000435
0.018432,-0.000005,-0.000485
0.018739,0.000380,-0.000465
0.019046,0.000705,-0.000355
0.019354,0.000925,-0.000185
0.019661,0.001005,0.000015
0.019968,0.000930,0.000225
0.020275,0.000720,0.000405
0.020582,0.000395,0.000530
0.020890,0.000015,0.000585
0.021197,-0.000370,0.000560
0.021504,-0.000695,0.000455
0.021811,-0.000915,0.000290
0.022118,-0.000995,0.000090
0.022426,-0.000920,-0.000120
0.022733,-0.000705,-0.000280
0.023040,-0.000385,-0.000400
0.023347,0.000000,-0.000445
0.023654,0.000385,-0.000420
0.023962,0.000710,-0.000310
0.024269,0.000925,-0.000135
0.024576,0.001005,0.000065
0.024883,0.000930,0.000270
0.025190,0.000715,0.000455
0.025498,0.000390,0.000570
0.025805,0.000010,0.000620
0.026112,-0.000375,0.000600
0.026419,-0.000700,0.000485
0.026726,-0.000920,0.000315
0.027034,-0.000995,0.000110
0.027341,-0.000920,-0.000095
0.027648,-0.000705,-0.000270
0.027955,-0.000380,-0.000395
0.028262,0.000005,-0.000450
0.028570,0.000390,-0.000425
0.028877,0.000715,-0.000325
0.029184,0.000930,-0.000155
0.029491,0.001005,0.000030
0.029798,0.000930,0.000235
0.030106,0.000710,0.000400
0.030413,0.000385,0.000520
0.030720,0.000000,0.000560
0.031027,-0.000380,0.000530
0.031334,-0.000705,0.000420
0.031642,-0.000920,0.000245
0.031949,-0.000995,0.000040
0.032256,-0.000915,-0.000160
0.032563,-0.000700,-0.000335
0.032870,-0.000375,-0.000450
0.033178,0.000010,-0.000500
0.033485,0.000395,-0.000475
0.033792,0.000715,-0.000370
0.034099,0.000930,-0.000205
