Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000565,-0.000015
0.002662,-0.000825,-0.000325
0.005325,-0.000970,-0.000615
0.007987,-0.000985,-0.000780
0.010650,-0.000865,-0.000810
0.013312,-0.000625,-0.000740
0.015974,-0.000300,-0.000630
0.018637,0.000065,-0.000430
0.021299,0.000425,-0.000150
0.023962,0.000725,0.000185
0.026624,0.000925,0.000480
0.029286,0.001005,0.000670
0.031949,0.000945,0.000730
0.034611,0.000760,0.000705
0.037274,0.000470,0.000620
0.039936,0.000120,0.000490
0.042598,-0.000250,0.000285
0.045261,-0.000580,0.000005
0.047923,-0.000835,-0.000305
0.050586,-0.000975,-0.000570
0.053248,-0.000980,-0.000730
0.055910,-0.000855,-0.000750
0.058573,-0.000610,-0.000670
0.061235,-0.000280,-0.000540
0.063898,0.000085,-0.000325
0.066560,0.000440,-0.000025
0.069222,0.000740,0.000305
0.071885,0.000935,0.000585
0.074547,0.001005,0.000735
0.077210,0.000940,0.000770
0.079872,0.000745,0.000720
0.082534,0.000455,0.000620
0.085197,0.000100,0.000445
0.087859,-0.000265,0.000200
0.090522,-0.000595,-0.000130
0.093184,-0.000845,-0.000470
0.095846,-0.000980,-0.000725
0.098509,-0.000975,-0.000835
0.101171,-0.000845,-0.000810
0.103834,-0.000595,-0.000740
0.106496,-0.000260,-0.000605
0.109158,0.000105,-0.000365
0.111821,0.000460,-0.000015
0.114483,0.000750,0.000320
0.117146,0.000940,0.000615
0.119808,0.001005,0.000775
0.122470,0.000935,0.000810
0.125133,0.000735,0.000765
0.127795,0.000435,0.000660
0.130458,0.000080,0.000490
0.133120,-0.000285,0.000245
0.135782,-0.000615,-0.000060
0.138445,-0.000855,-0.000390
0.141107,-0.000980,-0.000650
0.143770,-0.000975,-0.000765
0.146432,-0.000835,-0.000755
0.149094,-0.000580,-0.000675
0.151757,-0.000245,-0.000540
0.154419,0.000125,-0.000325
0.157082,0.000475,-0.000025
0.159744,0.000765,0.000290
0.162406,0.000950,0.000540
0.165069,0.001005,0.000685
0.167731,0.000925,0.000700
0.170394,0.000720,0.000655
0.173056,0.000420,0.000565
0.175718,0.000060,0.000415
0.178381,-0.000305,0.000190
0.181043,-0.000630,-0.000090
0.183706,-0.000865,-0.000360
0.186368,-0.000985,-0.000590
0.189030,-0.000970,-0.000720
0.191693,-0.000820,-0.000720
0.194355,-0.000560,-0.000645
0.197018,-0.000225,-0.000525
0.199680,0.000145,-0.000295
0.202342,0.000495,0.000005
0.205005,0.000775,0.000330
0.207667,0.000955,0.000590
0.210330,0.001005,0.000740
0.212992,0.000915,0.000765
0.215654,0.000705,0.000710
0.218317,0.000400,0.000615
0.220979,0.000040,0.000445
0.223642,-0.000320,0.000200
0.226304,-0.000640,-0.000105
0.228966,-0.000875,-0.000425
0.231629,-0.000985,-0.000690
0.234291,-0.000965,-0.000820
0.236954,-0.000810,-0.000800
0.239616,-0.000545,-0.000725
0.242278,-0.000205,-0.000605
0.244941,0.000160,-0.000365
0.247603,0.000510,-0.000030
0.250266,0.000790,0.000300
0.252928,0.000960,0.000585
0.255590,0.001000,0.000745
0.258253,0.000910,0.000770
0.260915,0.000695,0.000720
0.263578,0.000385,0.000625
0.266240,0.000025,0.000450
0.268902,-0.000340,0.000220
0.271565,-0.000655,-0.000055
0.274227,-0.000885,-0.000360
0.276890,-0.000990,-0.000605
0.279552,-0.000960,-0.000725
0.282214,-0.000800,-0.000710
0.284877,-0.000530,-0.000625
0.287539,-0.000190,-0.000495
0.290202,0.000180,-0.000275
0.292864,0.000525,0.000025
0.295526,0.000800,0.000345
0.298189,0.000965,0.000590
0.300851,0.001000,0.000725
0.303514,0.000900,0.000745
0.306176,0.000680,0.000690
0.308838,0.000365,0.000565
0.311501,0.000005,0.000370
0.314163,-0.000360,0.000115
