Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000605,0.000840
0.000819,0.000270,0.000720
0.001638,-0.000100,0.000520
0.002458,-0.000455,0.000260
0.003277,-0.000750,-0.000035
0.004096,-0.000935,-0.000330
0.004915,-0.000995,-0.000580
0.005734,-0.000915,-0.000740
0.006554,-0.000710,-0.000775
0.007373,-0.000405,-0.000680
0.008192,-0.000040,-0.000500
0.009011,0.000325,-0.000255
0.009830,0.000650,0.000030
0.010650,0.000885,0.000335
0.011469,0.000995,0.000605
0.012288,0.000975,0.000795
0.013107,0.000815,0.000865
0.013926,0.000550,0.000815
0.014746,0.000205,0.000675
0.015565,-0.000165,0.000455
0.016384,-0.000515,0.000175
0.017203,-0.000790,-0.000125
0.018022,-0.000955,-0.000435
0.018842,-0.000990,-0.000685
0.019661,-0.000885,-0.000820
0.020480,-0.000660,-0.000840
0.021299,-0.000340,-0.000730
0.022118,0.000025,-0.000555
0.022938,0.000390,-0.000315
0.023757,0.000700,-0.000025
0.024576,0.000915,0.000275
0.025395,0.001005,0.000540
0.026214,0.000955,0.000715
0.027034,0.000775,0.000780
0.027853,0.000490,0.000725
0.028672,0.000140,0.000570
0.029491,-0.000230,0.000350
0.030310,-0.000570,0.000075
0.031130,-0.000830,-0.000215
0.031949,-0.000975,-0.000505
0.032768,-0.000980,-0.000720
0.033587,-0.000855,-0.000825
0.034406,-0.000610,-0.000810
0.035226,-0.000280,-0.000690
0.036045,0.000090,-0.000495
0.036864,0.000450,-0.000245
0.037683,0.000745,0.000040
0.038502,0.000940,0.000345
0.039322,0.001005,0.000600
0.040141,0.000935,0.000765
0.040960,0.000735,0.000805
0.041779,0.000430,0.000730
0.042598,0.000075,0.000570
0.043418,-0.000295,0.000345
0.044237,-0.000625,0.000065
0.045056,-0.000865,-0.000235
0.045875,-0.000985,-0.000515
0.046694,-0.000970,-0.000710
0.047514,-0.000820,-0.000805
0.048333,-0.000555,-0.000785
0.049152,-0.000215,-0.000640
0.049971,0.000155,-0.000430
0.050790,0.000505,-0.000175
0.051610,0.000790,0.000120
0.052429,0.000960,0.000410
0.053248,0.001000,0.000655
0.054067,0.000905,0.000790
0.054886,0.000685,0.000805
0.055706,0.000370,0.000710
0.056525,0.000005,0.000530
0.057344,-0.000360,0.000290
0.058163,-0.000675,0.000005
0.058982,-0.000895,-0.000295
0.059802,-0.000990,-0.000565
0.060621,-0.000950,-0.000745
0.061440,-0.000780,-0.000820
0.062259,-0.000500,-0.000775
0.063078,-0.000150,-0.000615
0.063898,0.000220,-0.000405
0.064717,0.000565,-0.000130
0.065536,0.000825,0.000165
0.066355,0.000980,0.000445
0.067174,0.000995,0.000680
0.067994,0.000875,0.000805
0.068813,0.000635,0.000810
0.069632,0.000310,0.000700
0.070451,-0.000060,0.000515
0.071270,-0.000420,0.000260
0.072090,-0.000720,-0.000030
0.072909,-0.000920,-0.000330
0.073728,-0.000995,-0.000590
0.074547,-0.000930,-0.000750
0.075366,-0.000735,-0.000800
0.076186,-0.000440,-0.000725
0.077005,-0.000085,-0.000555
0.077824,0.000285,-0.000335
0.078643,0.000615,-0.000055
0.079462,0.000865,0.000240
0.080282,0.000990,0.000530
0.081101,0.000985,0.000750
0.081920,0.000840,0.000830
0.082739,0.000580,0.000805
0.083558,0.000245,0.000680
0.084378,-0.000125,0.000475
0.085197,-0.000480,0.000205
0.086016,-0.000765,-0.000090
0.086835,-0.000945,-0.000395
0.087654,-0.000995,-0.000635
0.088474,-0.000905,-0.000785
0.089293,-0.000690,-0.000815
0.090112,-0.000380,-0.000725
0.090931,-0.000015,-0.000540
0.091750,0.000350,-0.000310
0.092570,0.000670,-0.000035
0.093389,0.000895,0.000255
0.094208,0.001000,0.000525
0.095027,0.000965,0.000705
0.095846,0.000800,0.000770
