Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000240,-0.000295
0.000922,0.000570,-0.000015
0.001843,0.000825,0.000280
0.002765,0.000975,0.000535
0.003686,0.001000,0.000730
0.004608,0.000895,0.000810
0.005530,0.000675,0.000775
0.006451,0.000365,0.000640
0.007373,0.000015,0.000460
0.008294,-0.000340,0.000220
0.009216,-0.000650,-0.000060
0.010138,-0.000875,-0.000320
0.011059,-0.000985,-0.000555
0.011981,-0.000970,-0.000720
0.012902,-0.000825,-0.000780
0.013824,-0.000575,-0.000720
0.014746,-0.000245,-0.000575
0.015667,0.000110,-0.000360
0.016589,0.000455,-0.000085
0.017510,0.000745,0.000205
0.018432,0.000935,0.000475
0.019354,0.001005,0.000680
0.020275,0.000945,0.000805
0.021197,0.000765,0.000810
0.022118,0.000485,0.000705
0.023040,0.000145,0.000530
0.023962,-0.000215,0.000305
0.024883,-0.000545,0.000025
0.025805,-0.000805,-0.000260
0.026726,-0.000960,-0.000535
0.027648,-0.000990,-0.000735
0.028570,-0.000890,-0.000840
0.029491,-0.000675,-0.000825
0.030413,-0.000375,-0.000695
0.031334,-0.000020,-0.000490
0.032256,0.000335,-0.000230
0.033178,0.000650,0.000065
0.034099,0.000875,0.000350
0.035021,0.000995,0.000605
0.035942,0.000980,0.000755
0.036864,0.000845,0.000800
0.037786,0.000600,0.000730
0.038707,0.000275,0.000585
0.039629,-0.000085,0.000385
0.040550,-0.000430,0.000125
0.041472,-0.000720,-0.000145
0.042394,-0.000920,-0.000410
0.043315,-0.000995,-0.000630
0.044237,-0.000940,-0.000765
0.045158,-0.000765,-0.000805
0.046080,-0.000490,-0.000705
0.047002,-0.000150,-0.000530
0.047923,0.000210,-0.000280
0.048845,0.000540,0.000005
0.049766,0.000805,0.000290
0.050688,0.000965,0.000565
0.051610,0.001000,0.000755
0.052531,0.000910,0.000850
0.053453,0.000700,0.000830
0.054374,0.000400,0.000710
0.055296,0.000050,0.000525
0.056218,-0.000310,0.000275
0.057139,-0.000625,-0.000005
0.058061,-0.000860,-0.000295
0.058982,-0.000980,-0.000555
0.059904,-0.000975,-0.000730
0.060826,-0.000845,-0.000810
0.061747,-0.000600,-0.000760
0.062669,-0.000280,-0.000620
0.063590,0.000075,-0.000400
0.064512,0.000425,-0.000140
0.065434,0.000720,0.000145
0.066355,0.000920,0.000410
0.067277,0.001005,0.000640
0.068198,0.000955,0.000770
0.069120,0.000785,0.000790
0.070042,0.000515,0.000685
0.070963,0.000180,0.000525
0.071885,-0.000180,0.000290
0.072806,-0.000515,0.000025
0.073728,-0.000785,-0.000255
0.074650,-0.000950,-0.000520
0.075571,-0.000995,-0.000715
0.076493,-0.000905,-0.000830
0.077414,-0.000700,-0.000820
0.078336,-0.000405,-0.000690
0.079258,-0.000055,-0.000480
0.080179,0.000300,-0.000220
0.081101,0.000620,0.000075
0.082022,0.000860,0.000355
0.082944,0.000990,0.000610
0.083866,0.000990,0.000775
0.084787,0.000865,0.000835
0.085709,0.000625,0.000775
0.086630,0.000305,0.000630
0.087552,-0.000050,0.000430
0.088474,-0.000400,0.000180
0.089395,-0.000695,-0.000095
0.090317,-0.000905,-0.000370
0.091238,-0.000995,-0.000610
0.092160,-0.000950,-0.000765
0.093082,-0.000790,-0.000815
0.094003,-0.000520,-0.000730
0.094925,-0.000185,-0.000575
0.095846,0.000175,-0.000345
0.096768,0.000510,-0.000065
0.097690,0.000785,0.000215
0.098611,0.000955,0.000475
0.099533,0.001005,0.000675
0.100454,0.000925,0.000765
0.101376,0.000725,0.000735
0.102298,0.000430,0.000605
0.103219,0.000080,0.000415
0.104141,-0.000275,0.000180
0.105062,-0.000595,-0.000085
0.105984,-0.000840,-0.000365
0.106906,-0.000975,-0.000630
0.107827,-0.000980,-0.000810
0.108749,-0.000860,-0.000880
0.109670,-0.000630,-0.000835
0.110592,-0.000315,-0.000685
0.111514,0.000040,-0.000455
