Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000160,0.000075
0.000102,0.000150,0.000070
0.000205,0.000110,0.000065
0.000307,0.000055,0.000065
0.000410,-0.000015,0.000065
0.000512,-0.000080,0.000070
0.000614,-0.000130,0.000080
0.000717,-0.000150,0.000095
0.000819,-0.000140,0.000105
0.000922,-0.000100,0.000110
0.001024,-0.000045,0.000115
0.001126,0.000025,0.000115
0.001229,0.000090,0.000100
0.001331,0.000140,0.000090
0.001434,0.000160,0.000075
0.001536,0.000150,0.000070
0.001638,0.000110,0.000065
0.001741,0.000055,0.000060
0.001843,-0.000015,0.000060
0.001946,-0.000080,0.000070
0.002048,-0.000130,0.000085
0.002150,-0.000150,0.000100
0.002253,-0.000140,0.000105
0.002355,-0.000100,0.000110
0.002458,-0.000045,0.000110
0.002560,0.000025,0.000110
0.002662,0.000090,0.000095
0.002765,0.000140,0.000085
0.002867,0.000160,0.000075
0.002970,0.000150,0.000060
0.003072,0.000110,0.000050
0.003174,0.000055,0.000050
0.003277,-0.000015,0.000050
0.003379,-0.000080,0.000060
0.003482,-0.000130,0.000070
0.003584,-0.000150,0.000085
0.003686,-0.000140,0.000095
0.003789,-0.000100,0.000105
0.003891,-0.000045,0.000105
0.003994,0.000025,0.000105
0.004096,0.000090,0.000090
0.004198,0.000140,0.000080
0.004301,0.000160,0.000070
0.004403,0.000150,0.000060
0.004506,0.000110,0.000055
0.004608,0.000055,0.000050
0.004710,-0.000015,0.000050
0.004813,-0.000080,0.000060
0.004915,-0.000130,0.000070
0.005018,-0.000150,0.000080
0.005120,-0.000140,0.000090
0.005222,-0.000100,0.000100
0.005325,-0.000045,0.000105
0.005427,0.000025,0.000095
0.005530,0.000090,0.000085
0.005632,0.000140,0.000070
0.005734,0.000160,0.000065
0.005837,0.000150,0.000055
0.005939,0.000110,0.000050
0.006042,0.000055,0.000050
0.006144,-0.000015,0.000050
0.006246,-0.000080,0.000060
0.006349,-0.000130,0.000070
0.006451,-0.000150,0.000085
0.006554,-0.000140,0.000090
0.006656,-0.000100,0.000090
0.006758,-0.000045,0.000095
0.006861,0.000025,0.000095
0.006963,0.000090,0.000085
0.007066,0.000140,0.000070
0.007168,0.000160,0.000060
0.007270,0.000150,0.000050
0.007373,0.000110,0.000045
0.007475,0.000055,0.000045
0.007578,-0.000015,0.000050
0.007680,-0.000080,0.000060
0.007782,-0.000130,0.000070
0.007885,-0.000150,0.000085
0.007987,-0.000140,0.000095
0.008090,-0.000100,0.000095
0.008192,-0.000045,0.000095
0.008294,0.000025,0.000095
0.008397,0.000090,0.000085
0.008499,0.000140,0.000070
0.008602,0.000160,0.000060
0.008704,0.000150,0.000055
0.008806,0.000110,0.000050
0.008909,0.000055,0.000050
0.009011,-0.000015,0.000050
0.009114,-0.000080,0.000060
0.009216,-0.000130,0.000070
0.009318,-0.000150,0.000080
0.009421,-0.000140,0.000090
0.009523,-0.000100,0.000095
0.009626,-0.000045,0.000100
0.009728,0.000025,0.000090
0.009830,0.000090,0.000080
0.009933,0.000140,0.000070
