Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000075,-0.000050
0.029389,0.000430,0.000345
0.058778,0.000730,0.000750
0.088166,0.000930,0.000910
0.117555,0.001005,0.001050
0.146944,0.000945,0.001035
0.176333,0.000760,0.000940
0.205722,0.000475,0.000715
0.235110,0.000120,0.000240
0.264499,-0.000245,-0.000125
0.293888,-0.000575,-0.000570
0.323277,-0.000830,-0.000815
0.352666,-0.000975,-0.000985
0.382054,-0.000985,-0.001070
0.411443,-0.000860,-0.001015
0.440832,-0.000620,-0.000875
0.470221,-0.000295,-0.000470
0.499610,0.000070,-0.000095
0.528998,0.000425,0.000370
0.558387,0.000725,0.000740
0.587776,0.000925,0.000920
0.617165,0.001005,0.001035
0.646554,0.000950,0.001025
0.675942,0.000765,0.000960
0.705331,0.000475,0.000705
0.734720,0.000125,0.000280
0.764109,-0.000240,-0.000135
0.793498,-0.000575,-0.000600
0.822886,-0.000830,-0.000785
0.852275,-0.000970,-0.001000
0.881664,-0.000985,-0.001055
0.911053,-0.000860,-0.001010
0.940442,-0.000625,-0.000860
0.969830,-0.000300,-0.000520
0.999219,0.000065,-0.000065
1.028608,0.000420,0.000415
1.057997,0.000720,0.000720
1.087386,0.000925,0.000910
1.116774,0.001005,0.001080
1.146163,0.000950,0.001055
1.175552,0.000765,0.000965
1.204941,0.000480,0.000705
1.234330,0.000130,0.000305
1.263718,-0.000235,-0.000105
1.293107,-0.000570,-0.000635
1.322496,-0.000825,-0.000785
1.351885,-0.000970,-0.000960
1.381274,-0.000985,-0.001080
1.410662,-0.000865,-0.001045
1.440051,-0.000625,-0.000855
1.469440,-0.000305,-0.000495
1.498829,0.000060,-0.000055
1.528218,0.000415,0.000310
1.557606,0.000720,0.000745
1.586995,0.000925,0.000920
1.616384,0.001005,0.001005
1.645773,0.000950,0.001045
1.675162,0.000770,0.000955
1.704550,0.000485,0.000745
1.733939,0.000135,0.000280
1.763328,-0.000230,-0.000130
1.792717,-0.000565,-0.000490
1.822106,-0.000825,-0.000865
1.851494,-0.000970,-0.000980
1.880883,-0.000985,-0.001025
1.910272,-0.000865,-0.001005
1.939661,-0.000630,-0.000860
1.969050,-0.000310,-0.000565
1.998438,0.000055,-0.000020
2.027827,0.000410,0.000345
2.057216,0.000715,0.000680
2.086605,0.000920,0.000955
2.115994,0.001005,0.001015
2.145382,0.000950,0.001020
2.174771,0.000775,0.000960
2.204160,0.000490,0.000715
2.233549,0.000140,0.000325
2.262938,-0.000225,-0.000165
2.292326,-0.000560,-0.000475
2.321715,-0.000820,-0.000790
2.351104,-0.000970,-0.001055
2.380493,-0.000985,-0.001050
2.409882,-0.000870,-0.001015
2.439270,-0.000635,-0.000865
2.468659,-0.000315,-0.000510
2.498048,0.000050,-0.000095
2.527437,0.000410,0.000390
2.556826,0.000710,0.000665
2.586214,0.000920,0.000885
2.615603,0.001005,0.001075
2.644992,0.000955,0.001050
2.674381,0.000775,0.000975
2.703770,0.000495,0.000690
2.733158,0.000145,0.000290
2.762547,-0.000220,-0.000060
2.791936,-0.000555,-0.000565
2.821325,-0.000820,-0.000790
2.850714,-0.000965,-0.000980
2.880102,-0.000985,-0.001055
2.909491,-0.000870,-0.001010
2.938880,-0.000640,-0.000885
2.968269,-0.000320,-0.000515
2.997658,0.000045,-0.000095
3.027046,0.000405,0.000380
3.056435,0.000705,0.000725
3.085824,0.000915,0.000865
3.115213,0.001005,0.001040
3.144602,0.000955,0.001050
3.173990,0.000780,0.000965
3.203379,0.000500,0.000705
3.232768,0.000150,0.000270
3.262157,-0.000215,-0.000060
3.291546,-0.000555,-0.000505
3.320934,-0.000815,-0.000855
3.350323,-0.000965,-0.000965
3.379712,-0.000985,-0.001020
3.409101,-0.000875,-0.000995
3.438490,-0.000640,-0.000900
3.467878,-0.000325,-0.000570
3.497267,0.000040,-0.000025
