Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000055,-0.000755
0.000512,0.000300,-0.000605
0.001024,0.000620,-0.000390
0.001536,0.000860,-0.000130
0.002048,0.000990,0.000135
0.002560,0.000990,0.000405
0.003072,0.000860,0.000625
0.003584,0.000620,0.000760
0.004096,0.000300,0.000795
0.004608,-0.000060,0.000705
0.005120,-0.000410,0.000520
0.005632,-0.000705,0.000275
0.006144,-0.000910,0.000005
0.006656,-0.000995,-0.000265
0.007168,-0.000945,-0.000520
0.007680,-0.000775,-0.000700
0.008192,-0.000505,-0.000795
0.008704,-0.000165,-0.000805
0.009216,0.000195,-0.000690
0.009728,0.000530,-0.000490
0.010240,0.000800,-0.000235
0.010752,0.000965,0.000040
0.011264,0.001000,0.000310
0.011776,0.000910,0.000550
0.012288,0.000700,0.000725
0.012800,0.000400,0.000790
0.013312,0.000050,0.000740
0.013824,-0.000310,0.000585
0.014336,-0.000625,0.000350
0.014848,-0.000860,0.000095
0.015360,-0.000980,-0.000175
0.015872,-0.000975,-0.000435
0.016384,-0.000840,-0.000640
0.016896,-0.000595,-0.000770
0.017408,-0.000270,-0.000795
0.017920,0.000090,-0.000720
0.018432,0.000435,-0.000540
0.018944,0.000730,-0.000300
0.019456,0.000925,-0.000030
0.019968,0.001005,0.000240
0.020480,0.000950,0.000495
0.020992,0.000775,0.000695
0.021504,0.000500,0.000790
0.022016,0.000160,0.000780
0.022528,-0.000205,0.000650
0.023040,-0.000535,0.000445
0.023552,-0.000800,0.000200
0.024064,-0.000960,-0.000070
0.024576,-0.000990,-0.000345
0.025088,-0.000895,-0.000565
0.025600,-0.000680,-0.000700
0.026112,-0.000375,-0.000760
0.026624,-0.000020,-0.000710
0.027136,0.000335,-0.000555
0.027648,0.000650,-0.000335
0.028160,0.000880,-0.000070
0.028672,0.000995,0.000205
0.029184,0.000980,0.000470
0.029696,0.000840,0.000695
0.030208,0.000590,0.000815
0.030720,0.000265,0.000840
0.031232,-0.000095,0.000740
0.031744,-0.000440,0.000555
0.032256,-0.000730,0.000300
0.032768,-0.000925,0.000025
0.033280,-0.000995,-0.000245
0.033792,-0.000935,-0.000495
0.034304,-0.000755,-0.000670
0.034816,-0.000475,-0.000755
0.035328,-0.000130,-0.000750
0.035840,0.000230,-0.000625
0.036352,0.000560,-0.000420
0.036864,0.000820,-0.000170
0.037376,0.000975,0.000105
0.037888,0.001000,0.000380
0.038400,0.000895,0.000615
0.038912,0.000675,0.000770
0.039424,0.000370,0.000825
0.039936,0.000015,0.000770
0.040448,-0.000340,0.000600
0.040960,-0.000650,0.000360
0.041472,-0.000875,0.000090
0.041984,-0.000985,-0.000180
0.042496,-0.000965,-0.000435
0.043008,-0.000820,-0.000640
0.043520,-0.000565,-0.000755
0.044032,-0.000240,-0.000780
0.044544,0.000120,-0.000695
0.045056,0.000465,-0.000505
0.045568,0.000750,-0.000260
0.046080,0.000940,0.000005
0.046592,0.001005,0.000280
0.047104,0.000940,0.000525
0.047616,0.000755,0.000710
0.048128,0.000470,0.000795
0.048640,0.000125,0.000775
0.049152,-0.000235,0.000630
0.049664,-0.000565,0.000410
0.050176,-0.000820,0.000155
0.050688,-0.000965,-0.000120
0.051200,-0.000985,-0.000385
0.051712,-0.000880,-0.000615
0.052224,-0.000655,-0.000750
0.052736,-0.000345,-0.000800
0.053248,0.000015,-0.000740
0.053760,0.000370,-0.000585
0.054272,0.000675,-0.000355
0.054784,0.000895,-0.000085
0.055296,0.001000,0.000185
0.055808,0.000975,0.000450
0.056320,0.000820,0.000665
0.056832,0.000560,0.000775
0.057344,0.000230,0.000785
0.057856,-0.000130,0.000675
0.058368,-0.000475,0.000475
0.058880,-0.000755,0.000230
0.059392,-0.000935,-0.000040
0.059904,-0.000995,-0.000310
0.060416,-0.000925,-0.000545
0.060928,-0.000730,-0.000720
0.061440,-0.000445,-0.000785
0.061952,-0.000095,-0.000765
