Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000995,-0.000655
0.001126,-0.000935,-0.000760
0.002253,-0.000745,-0.000750
0.003379,-0.000455,-0.000600
0.004506,-0.000105,-0.000425
0.005632,0.000265,-0.000200
0.006758,0.000595,0.000080
0.007885,0.000850,0.000365
0.009011,0.000985,0.000605
0.010138,0.000990,0.000760
0.011264,0.000860,0.000785
0.012390,0.000615,0.000680
0.013517,0.000285,0.000525
0.014643,-0.000085,0.000340
0.015770,-0.000440,0.000100
0.016896,-0.000735,-0.000155
0.018022,-0.000925,-0.000395
0.019149,-0.000995,-0.000590
0.020275,-0.000925,-0.000695
0.021402,-0.000730,-0.000665
0.022528,-0.000435,-0.000535
0.023654,-0.000080,-0.000360
0.024781,0.000285,-0.000120
0.025907,0.000615,0.000150
0.027034,0.000860,0.000420
0.028160,0.000990,0.000650
0.029286,0.000985,0.000770
0.030413,0.000850,0.000790
0.031539,0.000595,0.000675
0.032666,0.000265,0.000510
0.033792,-0.000105,0.000305
0.034918,-0.000455,0.000060
0.036045,-0.000745,-0.000220
0.037171,-0.000935,-0.000465
0.038298,-0.000995,-0.000665
0.039424,-0.000920,-0.000760
0.040550,-0.000715,-0.000725
0.041677,-0.000415,-0.000580
0.042803,-0.000060,-0.000390
0.043930,0.000305,-0.000165
0.045056,0.000630,0.000110
0.046182,0.000870,0.000390
0.047309,0.000995,0.000620
0.048435,0.000980,0.000760
0.049562,0.000835,0.000770
0.050688,0.000580,0.000650
0.051814,0.000240,0.000490
0.052941,-0.000125,0.000270
0.054067,-0.000475,0.000010
0.055194,-0.000760,-0.000260
0.056320,-0.000940,-0.000520
0.057446,-0.000995,-0.000730
0.058573,-0.000910,-0.000820
0.059699,-0.000700,-0.000780
0.060826,-0.000395,-0.000635
0.061952,-0.000040,-0.000450
0.063078,0.000325,-0.000210
0.064205,0.000650,0.000065
0.065331,0.000880,0.000335
0.066458,0.000995,0.000550
0.067584,0.000975,0.000680
0.068710,0.000825,0.000700
0.069837,0.000560,0.000585
0.070963,0.000220,0.000435
0.072090,-0.000150,0.000220
0.073216,-0.000495,-0.000010
0.074342,-0.000775,-0.000270
0.075469,-0.000950,-0.000515
0.076595,-0.000995,-0.000700
0.077722,-0.000900,-0.000775
0.078848,-0.000685,-0.000730
0.079974,-0.000375,-0.000575
0.081101,-0.000015,-0.000375
0.082227,0.000350,-0.000130
0.083354,0.000665,0.000155
0.084480,0.000890,0.000445
0.085606,0.001000,0.000670
0.086733,0.000970,0.000790
0.087859,0.000810,0.000780
0.088986,0.000540,0.000670
0.090112,0.000200,0.000515
0.091238,-0.000170,0.000315
0.092365,-0.000515,0.000065
0.093491,-0.000790,-0.000195
0.094618,-0.000955,-0.000440
0.095744,-0.000990,-0.000630
0.096870,-0.000890,-0.000730
0.097997,-0.000670,-0.000665
0.099123,-0.000355,-0.000525
0.100250,0.000005,-0.000330
0.101376,0.000370,-0.000095
0.102502,0.000680,0.000180
0.103629,0.000900,0.000455
0.104755,0.001000,0.000650
0.105882,0.000965,0.000755
0.107008,0.000800,0.000740
0.108134,0.000525,0.000625
0.109261,0.000180,0.000460
0.110387,-0.000190,0.000255
0.111514,-0.000535,0.000015
0.112640,-0.000800,-0.000240
0.113766,-0.000960,-0.000480
0.114893,-0.000990,-0.000655
0.116019,-0.000880,-0.000730
0.117146,-0.000655,-0.000670
0.118272,-0.000335,-0.000525
0.119398,0.000030,-0.000320
0.120525,0.000390,-0.000070
0.121651,0.000695,0.000205
0.122778,0.000910,0.000475
0.123904,0.001005,0.000670
0.125030,0.000960,0.000775
0.126157,0.000785,0.000735
0.127283,0.000505,0.000600
0.128410,0.000155,0.000420
0.129536,-0.000210,0.000195
0.130662,-0.000550,-0.000070
0.131789,-0.000815,-0.000340
0.132915,-0.000965,-0.000585
