Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000175,0.000435
0.001382,-0.000190,0.000235
0.002765,-0.000530,-0.000015
0.004147,-0.000795,-0.000285
0.005530,-0.000960,-0.000525
0.006912,-0.000990,-0.000710
0.008294,-0.000890,-0.000770
0.009677,-0.000670,-0.000705
0.011059,-0.000360,-0.000570
0.012442,0.000000,-0.000395
0.013824,0.000360,-0.000190
0.015206,0.000670,0.000065
0.016589,0.000895,0.000325
0.017971,0.001000,0.000530
0.019354,0.000970,0.000635
0.020736,0.000815,0.000625
0.022118,0.000545,0.000520
0.023501,0.000210,0.000370
0.024883,-0.000155,0.000195
0.026266,-0.000500,-0.000020
0.027648,-0.000775,-0.000240
0.029030,-0.000950,-0.000450
0.030413,-0.000995,-0.000595
0.031795,-0.000905,-0.000650
0.033178,-0.000695,-0.000600
0.034560,-0.000390,-0.000485
0.035942,-0.000035,-0.000305
0.037325,0.000330,-0.000085
0.038707,0.000645,0.000170
0.040090,0.000880,0.000415
0.041472,0.000995,0.000595
0.042854,0.000980,0.000690
0.044237,0.000830,0.000660
0.045619,0.000575,0.000555
0.047002,0.000240,0.000420
0.048384,-0.000125,0.000240
0.049766,-0.000470,0.000015
0.051149,-0.000755,-0.000230
0.052531,-0.000940,-0.000450
0.053914,-0.000995,-0.000600
0.055296,-0.000920,-0.000665
0.056678,-0.000720,-0.000610
0.058061,-0.000420,-0.000480
0.059443,-0.000065,-0.000320
0.060826,0.000295,-0.000095
0.062208,0.000620,0.000170
0.063590,0.000865,0.000405
0.064973,0.000990,0.000610
0.066355,0.000985,0.000710
0.067738,0.000850,0.000700
0.069120,0.000605,0.000590
0.070502,0.000275,0.000445
0.071885,-0.000090,0.000255
0.073267,-0.000440,0.000035
0.074650,-0.000735,-0.000220
0.076032,-0.000925,-0.000460
0.077414,-0.000995,-0.000640
0.078797,-0.000930,-0.000720
0.080179,-0.000740,-0.000685
0.081562,-0.000450,-0.000575
0.082944,-0.000100,-0.000410
0.084326,0.000265,-0.000195
0.085709,0.000595,0.000055
0.087091,0.000845,0.000320
0.088474,0.000985,0.000545
0.089856,0.000990,0.000670
0.091238,0.000870,0.000680
0.092621,0.000630,0.000585
0.094003,0.000305,0.000445
0.095386,-0.000055,0.000265
0.096768,-0.000410,0.000055
0.098150,-0.000710,-0.000180
0.099533,-0.000915,-0.000405
0.100915,-0.000995,-0.000585
0.102298,-0.000940,-0.000685
0.103680,-0.000765,-0.000655
0.105062,-0.000480,-0.000550
0.106445,-0.000135,-0.000395
0.107827,0.000230,-0.000190
0.109210,0.000565,0.000055
0.110592,0.000825,0.000315
0.111974,0.000975,0.000545
0.113357,0.000995,0.000685
0.114739,0.000885,0.000705
0.116122,0.000655,0.000610
0.117504,0.000340,0.000470
0.118886,-0.000020,0.000310
0.120269,-0.000380,0.000100
0.121651,-0.000685,-0.000125
0.123034,-0.000900,-0.000350
0.124416,-0.000990,-0.000530
0.125798,-0.000950,-0.000625
0.127181,-0.000785,-0.000625
0.128563,-0.000510,-0.000510
0.129946,-0.000170,-0.000370
0.131328,0.000200,-0.000170
0.132710,0.000540,0.000060
0.134093,0.000805,0.000325
0.135475,0.000970,0.000540
0.136858,0.001000,0.000680
0.138240,0.000900,0.000705
0.139622,0.000680,0.000615
0.141005,0.000370,0.000475
0.142387,0.000010,0.000305
0.143770,-0.000350,0.000095
0.145152,-0.000660,-0.000130
0.146534,-0.000885,-0.000365
0.147917,-0.000990,-0.000565
0.149299,-0.000960,-0.000685
0.150682,-0.000805,-0.000680
0.152064,-0.000540,-0.000580
0.153446,-0.000200,-0.000435
0.154829,0.000165,-0.000245
0.156211,0.000510,-0.000020
0.157594,0.000785,0.000230
0.158976,0.000960,0.000445
0.160358,0.001005,0.000585
0.161741,0.000915,0.000625
0.163123,0.000705,0.000545
0.164506,0.000400,0.000415
