Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000550,0.000230
0.000717,-0.000815,-0.000080
0.001434,-0.000965,-0.000375
0.002150,-0.000985,-0.000635
0.002867,-0.000870,-0.000790
0.003584,-0.000635,-0.000835
0.004301,-0.000310,-0.000755
0.005018,0.000055,-0.000585
0.005734,0.000415,-0.000355
0.006451,0.000720,-0.000075
0.007168,0.000925,0.000230
0.007885,0.001005,0.000520
0.008602,0.000945,0.000730
0.009318,0.000760,0.000830
0.010035,0.000470,0.000825
0.010752,0.000115,0.000675
0.011469,-0.000250,0.000455
0.012186,-0.000585,0.000180
0.012902,-0.000840,-0.000125
0.013619,-0.000975,-0.000420
0.014336,-0.000980,-0.000660
0.015053,-0.000845,-0.000800
0.015770,-0.000600,-0.000830
0.016486,-0.000265,-0.000725
0.017203,0.000100,-0.000545
0.017920,0.000455,-0.000305
0.018637,0.000750,-0.000010
0.019354,0.000940,0.000290
0.020070,0.001005,0.000570
0.020787,0.000930,0.000760
0.021504,0.000730,0.000850
0.022221,0.000430,0.000810
0.022938,0.000070,0.000655
0.023654,-0.000295,0.000420
0.024371,-0.000620,0.000145
0.025088,-0.000860,-0.000165
0.025805,-0.000985,-0.000450
0.026522,-0.000970,-0.000675
0.027238,-0.000825,-0.000810
0.027955,-0.000565,-0.000830
0.028672,-0.000225,-0.000715
0.029389,0.000145,-0.000525
0.030106,0.000495,-0.000280
0.030822,0.000780,0.000015
0.031539,0.000955,0.000315
0.032256,0.001005,0.000580
0.032973,0.000915,0.000775
0.033690,0.000700,0.000850
0.034406,0.000390,0.000795
0.035123,0.000030,0.000630
0.035840,-0.000335,0.000395
0.036557,-0.000655,0.000105
0.037274,-0.000885,-0.000205
0.037990,-0.000990,-0.000475
0.038707,-0.000960,-0.000695
0.039424,-0.000795,-0.000810
0.040141,-0.000525,-0.000820
0.040858,-0.000180,-0.000695
0.041574,0.000190,-0.000500
0.042291,0.000535,-0.000250
0.043008,0.000805,0.000050
0.043725,0.000970,0.000345
0.044442,0.001000,0.000605
0.045158,0.000895,0.000780
0.045875,0.000665,0.000835
0.046592,0.000350,0.000775
0.047309,-0.000015,0.000605
0.048026,-0.000380,0.000355
0.048742,-0.000690,0.000065
0.049459,-0.000905,-0.000245
0.050176,-0.000995,-0.000515
0.050893,-0.000945,-0.000710
0.051610,-0.000770,-0.000815
0.052326,-0.000485,-0.000800
0.053043,-0.000135,-0.000675
0.053760,0.000235,-0.000465
0.054477,0.000570,-0.000210
0.055194,0.000830,0.000090
0.055910,0.000980,0.000390
0.056627,0.000995,0.000650
0.057344,0.000875,0.000825
0.058061,0.000630,0.000875
0.058778,0.000305,0.000805
0.059494,-0.000060,0.000610
0.060211,-0.000420,0.000355
0.060928,-0.000720,0.000065
0.061645,-0.000920,-0.000245
0.062362,-0.000995,-0.000520
0.063078,-0.000930,-0.000725
0.063795,-0.000740,-0.000800
0.064512,-0.000450,-0.000785
0.065229,-0.000090,-0.000640
0.065946,0.000275,-0.000430
0.066662,0.000610,-0.000165
0.067379,0.000855,0.000145
0.068096,0.000990,0.000440
0.068813,0.000985,0.000685
0.069530,0.000850,0.000830
0.070246,0.000595,0.000865
0.070963,0.000265,0.000765
0.071680,-0.000105,0.000560
0.072397,-0.000460,0.000310
0.073114,-0.000750,0.000000
0.073830,-0.000935,-0.000315
0.074547,-0.000995,-0.000580
0.075264,-0.000915,-0.000780
0.075981,-0.000710,-0.000855
0.076698,-0.000405,-0.000810
0.077414,-0.000050,-0.000665
0.078131,0.000320,-0.000440
0.078848,0.000645,-0.000185
0.079565,0.000880,0.000125
0.080282,0.000995,0.000415
0.080998,0.000975,0.000655
0.081715,0.000825,0.000790
0.082432,0.000560,0.000820
0.083149,0.000220,0.000720
0.083866,-0.000150,0.000520
0.084582,-0.000500,0.000260
