Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000400,0.000475
0.000358,0.000020,0.000530
0.000717,-0.000360,0.000515
0.001075,-0.000690,0.000415
0.001434,-0.000910,0.000250
0.001792,-0.000995,0.000055
0.002150,-0.000930,-0.000135
0.002509,-0.000720,-0.000315
0.002867,-0.000405,-0.000450
0.003226,-0.000025,-0.000510
0.003584,0.000355,-0.000495
0.003942,0.000685,-0.000390
0.004301,0.000915,-0.000235
0.004659,0.001005,-0.000040
0.005018,0.000945,0.000150
0.005376,0.000745,0.000330
0.005734,0.000430,0.000460
0.006093,0.000055,0.000510
0.006451,-0.000330,0.000500
0.006810,-0.000660,0.000405
0.007168,-0.000895,0.000250
0.007526,-0.000995,0.000055
0.007885,-0.000940,-0.000145
0.008243,-0.000745,-0.000330
0.008602,-0.000440,-0.000465
0.008960,-0.000065,-0.000530
0.009318,0.000320,-0.000535
0.009677,0.000660,-0.000440
0.010035,0.000895,-0.000280
0.010394,0.001000,-0.000085
0.010752,0.000955,0.000110
0.011110,0.000770,0.000290
0.011469,0.000465,0.000425
0.011827,0.000090,0.000495
0.012186,-0.000295,0.000500
0.012544,-0.000635,0.000415
0.012902,-0.000880,0.000265
0.013261,-0.000990,0.000075
0.013619,-0.000950,-0.000120
0.013978,-0.000770,-0.000305
0.014336,-0.000470,-0.000445
0.014694,-0.000100,-0.000520
0.015053,0.000285,-0.000530
0.015411,0.000630,-0.000440
0.015770,0.000880,-0.000285
0.016128,0.001000,-0.000100
0.016486,0.000965,0.000100
0.016845,0.000790,0.000285
0.017203,0.000495,0.000430
0.017562,0.000130,0.000515
0.017920,-0.000260,0.000515
0.018278,-0.000605,0.000440
0.018637,-0.000860,0.000300
0.018995,-0.000985,0.000120
0.019354,-0.000960,-0.000085
0.019712,-0.000790,-0.000270
0.020070,-0.000500,-0.000420
0.020429,-0.000135,-0.000510
0.020787,0.000250,-0.000520
0.021146,0.000600,-0.000440
0.021504,0.000860,-0.000290
0.021862,0.000995,-0.000105
0.022221,0.000975,0.000095
0.022579,0.000815,0.000275
0.022938,0.000530,0.000430
0.023296,0.000165,0.000520
0.023654,-0.000225,0.000535
0.024013,-0.000575,0.000460
0.024371,-0.000845,0.000320
0.024730,-0.000980,0.000145
0.025088,-0.000970,-0.000055
0.025446,-0.000815,-0.000235
0.025805,-0.000535,-0.000395
0.026163,-0.000170,-0.000475
0.026522,0.000215,-0.000490
0.026880,0.000570,-0.000420
0.027238,0.000845,-0.000280
0.027597,0.000985,-0.000095
0.027955,0.000985,0.000110
0.028314,0.000835,0.000290
0.028672,0.000560,0.000445
0.029030,0.000200,0.000530
0.029389,-0.000190,0.000555
0.029747,-0.000545,0.000485
0.030106,-0.000825,0.000350
0.030464,-0.000975,0.000175
0.030822,-0.000980,-0.000030
0.031181,-0.000835,-0.000220
0.031539,-0.000565,-0.000375
0.031898,-0.000210,-0.000465
0.032256,0.000180,-0.000495
0.032614,0.000540,-0.000435
0.032973,0.000820,-0.000300
0.033331,0.000980,-0.000125
0.033690,0.000990,0.000075
0.034048,0.000855,0.000260
0.034406,0.000590,0.000405
0.034765,0.000235,0.000500
0.035123,-0.000150,0.000530
0.035482,-0.000515,0.000475
0.035840,-0.000800,0.000340
0.036198,-0.000965,0.000155
0.036557,-0.000985,-0.000040
0.036915,-0.000855,-0.000230
0.037274,-0.000595,-0.000390
0.037632,-0.000245,-0.000490
0.037990,0.000145,-0.000520
0.038349,0.000510,-0.000470
0.038707,0.000800,-0.000345
0.039066,0.000970,-0.000160
0.039424,0.000995,0.000030
0.039782,0.000870,0.000215
0.040141,0.000620,0.000380
