Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.330752,0.000000,-0.000015,-14.664000
0.331264,0.000000,-0.000015,-19.552000
0.331776,0.000000,-0.000020,-23.218000
0.332288,0.000000,-0.000025,-25.662000
0.332800,0.000000,-0.000030,-26.884000
0.333312,0.000000,-0.000040,-17.108000
0.333824,0.000000,-0.000045,-23.218000
0.334336,0.000000,-0.000045,-26.884000
0.334848,0.000000,-0.000055,-23.218000
0.335360,0.000000,-0.000065,-20.774000
0.335872,0.000000,-0.000070,-25.662000
0.336384,0.000000,-0.000080,-19.552000
0.336896,0.000000,-0.000085,-25.662000
0.337408,0.000000,-0.000085,-20.774000
0.337920,0.000000,-0.000090,-20.774000
0.338432,0.000000,-0.000090,-17.108000
0.338944,0.000000,-0.000090,-20.774000
0.339456,0.000000,-0.000095,-23.218000
0.339968,0.000000,-0.000095,-20.774000
0.340480,0.000000,-0.000095,-26.884000
0.340992,0.000000,-0.000095,-23.218000
0.341504,0.000000,-0.000100,-23.218000
0.342016,0.000000,-0.000100,-23.218000
0.342528,0.000000,-0.000095,-23.218000
0.343040,0.000000,-0.000095,-19.552000
0.343552,0.000000,-0.000095,-17.108000
0.344064,0.000000,-0.000095,-19.552000
0.344576,0.000000,-0.000090,-19.552000
0.345088,0.000000,-0.000085,-20.774000
0.345600,0.000000,-0.000085,-23.218000
0.346112,0.000000,-0.000080,-20.774000
0.346624,0.000000,-0.000080,-20.774000
0.347136,0.000000,-0.000080,-23.218000
0.347648,0.000000,-0.000080,-20.774000
0.348160,0.000000,-0.000075,-19.552000
0.348672,0.000000,-0.000070,-25.662000
0.349184,0.000000,-0.000065,-25.662000
0.349696,0.000000,-0.000060,-26.884000
0.350208,0.000000,-0.000060,-23.218000
0.350720,0.000000,-0.000060,-25.662000
0.351232,0.000000,-0.000060,-17.108000
0.351744,0.000000,-0.000055,-20.774000
0.352256,0.000000,-0.000050,-26.884000
0.352768,0.000000,-0.000045,-17.108000
0.353280,0.000000,-0.000045,-23.218000
0.353792,0.000000,-0.000045,-25.662000
0.354304,0.000000,-0.000040,-26.884000
0.354816,0.000000,-0.000040,-25.662000
0.355328,0.000000,-0.000040,-20.774000
0.355840,0.000000,-0.000035,-17.108000
0.356352,0.000000,-0.000035,-23.218000
0.356864,0.000000,-0.000035,-23.218000
0.357376,0.000000,-0.000035,-20.774000
0.357888,0.000000,-0.000035,-23.218000
0.358400,0.000000,-0.000035,-20.774000
0.358912,0.000000,-0.000030,-23.218000
0.359424,0.000000,-0.000030,-25.662000
0.359936,0.000000,-0.000030,-20.774000
0.360448,0.000000,-0.000030,-23.218000
0.360960,0.000000,-0.000040,-20.774000
0.361472,0.000000,-0.000040,-20.774000
0.361984,0.000000,-0.000040,-23.218000
0.362496,0.000000,-0.000035,-29.328000
0.363008,0.000000,-0.000040,-19.552000
0.363520,0.000000,-0.000045,-23.218000
0.364032,0.000000,-0.000045,-19.552000
0.364544,0.000000,-0.000050,-20.774000
0.365056,0.000000,-0.000050,-23.218000
0.365568,0.000000,-0.000050,-17.108000
0.366080,0.000000,-0.000050,-20.774000
0.366592,0.000000,-0.000060,-19.552000
0.367104,0.000000,-0.000060,-20.774000
0.367616,0.000000,-0.000060,-23.218000
0.368128,0.000000,-0.000065,-25.662000
0.368640,0.000000,-0.000070,-23.218000
0.369152,0.000000,-0.000070,-14.664000
0.369664,0.000000,-0.000070,-20.774000
0.370176,0.000000,-0.000065,-23.218000
0.370688,0.000000,-0.000070,-23.218000
0.371200,0.000000,-0.000070,-20.774000
0.371712,0.000000,-0.000075,-14.664000
0.372224,0.000000,-0.000080,-25.662000
0.372736,0.000000,-0.000080,-14.664000
0.373248,0.000000,-0.000080,-23.218000
0.373760,0.000000,-0.000080,-14.664000
0.374272,0.000000,-0.000075,-19.552000
0.374784,0.000000,-0.000085,-19.552000
0.375296,0.000000,-0.000085,-20.774000
0.375808,0.000000,-0.000080,-20.774000
0.376320,0.000000,-0.000075,-14.664000
0.376832,0.000000,-0.000075,-23.218000
0.377344,0.000000,-0.000075,-13.442000
0.377856,0.000000,-0.000075,-19.552000
0.378368,0.000000,-0.000075,-23.218000
0.378880,0.000000,-0.000070,-19.552000
0.379392,0.000000,-0.000075,-17.108000
0.379904,0.000000,-0.000075,-23.218000
0.380416,0.000000,-0.000065,-23.218000
0.380928,0.000000,-0.000060,-17.108000
0.381440,0.000000,-0.000060,-20.774000
0.381952,0.000000,-0.000060,-20.774000
0.382464,0.000000,-0.000060,-17.108000
0.382976,0.000000,-0.000060,-26.884000
0.383488,0.000000,-0.000055,-20.774000
0.384000,0.000000,-0.000050,-23.218000
0.384512,0.000000,-0.000045,-20.774000
0.385024,0.000000,-0.000045,-19.552000
0.385536,0.000000,-0.000045,-23.218000
0.386048,0.000000,-0.000045,-17.108000
0.386560,0.000000,-0.000035,-19.552000
0.387072,0.000000,-0.000025,-23.218000
0.387584,0.000000,-0.000025,-23.218000
0.388096,0.000000,-0.000025,-20.774000
0.388608,0.000000,-0.000020,-26.884000
0.389120,0.000000,-0.000020,-25.662000
0.389632,0.000000,-0.000015,-20.774000
0.390144,0.000000,-0.000015,-19.552000
0.390656,0.000000,-0.000015,-23.218000
0.391168,0.000000,-0.000005,-23.218000
0.391680,0.000000,0.000000,-29.328000
0.392192,0.000000,0.000000,-14.664000
0.392704,0.000000,0.000000,-23.218000
0.393216,0.000000,0.000000,-19.552000
0.393728,0.000000,0.000005,-20.774000
0.394240,0.000000,0.000005,-23.218000
0.394752,0.000000,0.000005,-20.774000
0.395264,0.000000,0.000005,-23.218000
0.395776,0.000000,0.000000,-19.552000
0.396288,0.000000,0.000000,-19.552000
0.396800,0.000000,0.000000,-20.774000
0.397312,0.000000,0.000005,-25.662000
0.397824,0.000000,0.000005,-25.662000
0.398336,0.000000,-0.000005,-23.218000
0.398848,0.000000,-0.000010,-17.108000
0.399360,0.000000,-0.000010,-23.218000
0.399872,0.000000,-0.000005,-23.218000
0.400384,0.000000,-0.000005,-19.552000
0.400896,0.000000,-0.000010,-20.774000
0.401408,0.000000,-0.000015,-26.884000
0.401920,0.000000,-0.000025,-23.218000
0.402432,0.000000,-0.000025,-17.108000
0.402944,0.000000,-0.000025,-23.218000
0.403456,0.000000,-0.000025,-23.218000
0.403968,0.000000,-0.000025,-17.108000
0.404480,0.000000,-0.000035,-14.664000
0.404992,0.000000,-0.000035,-19.552000
0.405504,0.000000,-0.000035,-17.108000
0.406016,0.000000,-0.000035,-23.218000
0.406528,0.000000,-0.000040,-14.664000
0.407040,0.000000,-0.000040,-20.774000
0.407552,0.000000,-0.000045,-20.774000
0.408064,0.000000,-0.000050,-14.664000
0.408576,0.000000,-0.000050,-23.218000
0.409088,0.000000,-0.000050,-23.218000
0.409600,0.000000,-0.000050,-23.218000
0.410112,0.000000,-0.000050,-20.774000
0.410624,0.000000,-0.000055,-13.442000
0.411136,0.000000,-0.000055,-23.218000
0.411648,0.000000,-0.000055,-23.218000
0.412160,0.000000,-0.000055,-17.108000
0.412672,0.000000,-0.000055,-19.552000
0.413184,0.000000,-0.000055,-14.664000
0.413696,0.000000,-0.000055,-19.552000
0.414208,0.000000,-0.000055,-29.328000
0.414720,0.000000,-0.000050,-20.774000
0.415232,0.000000,-0.000050,-23.218000
0.415744,0.000000,-0.000050,-23.218000
0.416256,0.000000,-0.000050,-19.552000
0.416768,0.000000,-0.000050,-20.774000
0.417280,0.000000,-0.000045,-17.108000
0.417792,0.000000,-0.000040,-19.552000
