0,0
0.00958,0.00958
0.01916,0.01916
0.02874,0.02874
0.03832,0.03832
0.0479,0.0479
0.05748,0.05748
0.06706,0.06706
0.07664,0.07664
0.08622,0.08622
0.0958,0.0958
0.10538,0.10538
0.11496,0.11496
0.12454,0.12454
0.13412,0.13412
0.1437,0.1437
0.15328,0.15328
0.16286,0.16286
0.17244,0.17244
0.18202,0.18202
0.1916,0.1916
0.20118,0.20118
0.21076,0.21076
0.22034,0.22034
0.22992,0.22992
0.2395,0.2395
0.24908,0.24908
0.25866,0.25866
0.26824,0.26824
0.27782,0.27782
0.2874,0.2874
0.29698,0.29698
0.30656,0.30656
0.31614,0.31614
0.32572,0.32572
0.3353,0.3353
0.34488,0.34488
0.35446,0.35446
0.36404,0.36404
0.37362,0.37362
0.3832,0.3832
0.39278,0.39278
0.40236,0.40236
0.41194,0.41194
0.42152,0.42152
0.4311,0.4311
0.44068,0.44068
0.45026,0.45026
0.45984,0.45984
0.46942,0.46942
0.479,0.479
0.48858,0.48858
0.49816,0.49816
0.50774,0.50774
0.51732,0.51732
0.5269,0.5269
0.53648,0.53648
0.54606,0.54606
0.55564,0.55564
0.56522,0.56522
0.5748,0.5748
0.58438,0.58438
0.59396,0.59396
0.60354,0.60354
0.61312,0.61312
0.6227,0.6227
0.63228,0.63228
0.64186,0.64186
0.65144,0.65144
0.66102,0.66102
0.6706,0.6706
0.68018,0.68018
0.68976,0.68976
0.69934,0.69934
0.70892,0.70892
0.7185,0.7185
0.72808,0.72808
0.73766,0.73766
0.74724,0.74724
0.75682,0.75682
0.7664,0.7664
0.77598,0.77598
0.78556,0.78556
0.79514,0.79514
0.80472,0.80472
0.8143,0.8143
0.82388,0.82388
0.83346,0.83346
0.84304,0.84304
0.85262,0.85262
0.8622,0.8622
0.87178,0.87178
0.88136,0.88136
0.89094,0.89094
0.90052,0.90052
0.9101,0.9101
0.91968,0.91968
0.92926,0.92926
0.93884,0.93884
0.94842,0.94842
0.958,0.958
0.96758,0.96758
0.97716,0.97716
0.98674,0.98674
0.99632,0.99632
1.0059,1.0059
1.01548,1.01548
1.02506,1.02506
1.03464,1.03464
1.04422,1.04422
1.0538,1.0538
1.06338,1.06338
1.07296,1.07296
1.08254,1.08254
1.09212,1.09212
1.1017,1.1017
1.11128,1.11128
1.12086,1.12086
1.13044,1.13044
1.14002,1.14002
1.1496,1.1496
1.15918,1.15918
1.16876,1.16876
1.17834,1.17834
1.18792,1.18792
1.1975,1.1975
1.20708,1.20708
1.21666,1.21666
1.22624,1.22624
1.23582,1.23582
1.2454,1.2454
1.25498,1.25498
1.26456,1.26456
1.27414,1.27414
1.28372,1.28372
1.2933,1.2933
1.30288,1.30288
1.31246,1.31246
1.32204,1.32204
1.33162,1.33162
1.3412,1.3412
1.35078,1.35078
1.36036,1.36036
1.36994,1.36994
1.37952,1.37952
1.3891,1.3891
1.39868,1.39868
1.40826,1.40826
1.41784,1.41784
1.42742,1.42742
1.437,1.437
1.44658,1.44658
1.45616,1.45616
1.46574,1.46574
1.47532,1.47532
1.4849,1.4849
1.49448,1.49448
1.50406,1.50406
1.51364,1.51364
1.52322,1.52322
1.5328,1.5328
1.54238,1.54238
1.55196,1.55196
1.56154,1.56154
1.57112,1.57112
1.5807,1.5807
1.59028,1.59028
1.59986,1.59986
1.60944,1.60944
1.61902,1.61902
1.6286,1.6286
1.63818,1.63818
1.64776,1.64776
1.65734,1.65734
1.66692,1.66692
